SampleName	cluster	silhouetteValue
SampleName	cluster	silhouetteValue
MCL-28	1	0.105039828029347
UNMC-59	1	0.0583626480094686
WCM062	1	-0.00814413725585098
GROUP7-15	1	-0.208173631904138
MCL-38	1	-0.168409687252582
MCL-98	1	-0.18569413471538
UNMC-28	1	0.364833998376443
MCL-128	1	0.0544248225005136
UNMC-8	1	-0.186905013615717
GROUP6-1	1	-0.124915400254479
UNMC-23	1	-0.223938122258065
MCL-71	1	0.126280722557236
GROUP5-7	1	0.259147692618501
MCL-24	1	-0.0172688956042295
UNMC-37	1	0.452564588760616
MCL-109	1	0.319089760299826
SC01-10	1	0.330598634795734
HUMC-8	2	-0.0144191928315534
GROUP4-9	2	0.0704711788245951
GROUP7-1	2	0.30768429714762
M47-027	2	0.32811611851306
GROUP4-2	2	-0.108382933971767
GROUP7-17	2	0.0139897567503906
M47-029	2	0.200624190120569
IA2268	2	-0.0485283402793541
GROUP4-1	2	-0.133442221044678
GROUP4-4	2	0.279416181181756
MCL-40	2	0.113331719043142
UNMC-6	2	-0.254155202527654
GROUP7-9	2	-0.13276407129943
IA2745	2	0.294691303188326
IA1147	2	-0.157753722941002
GROUP7-14	2	0.304977351373516
GROUP7-2	2	0.415338669290452
HUMC5	2	0.182145026623654
MCL-35	2	0.116638402951057
UNMC-24	2	0.533936145669968
M47-023	2	0.0576240780943438
GROUP5-5	2	0.147055625992148
UNMC-85	2	0.228714014498941
M47-025	2	0.117760809181288
IA834	2	0.151132169880456
IA-02	2	-0.23709967611878
MCL-45	2	0.14044747094305
UNMC-81	3	0.102421398422795
UNMC-7	3	0.031396684099264
HUMC-15	3	-0.112553433500279
MCL-42	3	0.0279023861772318
SC86-6	3	0.203155968931195
IA4885	3	0.11220618541615
UNMC-55	3	0.152392823769771
UNMC-79-C1	3	0.0370989806440543
S08-1	3	0.237947897675081
UNMC-84	3	-0.237493797877861
SC02-11	3	-0.02285923213044
M47-022	3	0.291272541075871
BC04	3	0.306917064197053
HUMC-9	3	0.0221146632873893
UNMC-51	3	0.415338669290452
UNMC-18	4	0.0647247117281005
GROUP5-9	4	0.122673984357099
GROUP7-22	4	0.295729418388473
GROUP7-3	4	-0.33649942367924
MCL-146	4	-0.0919117852389472
HUMC-7	5	-0.0844213025987872
S92-5	5	-0.0181484760562581
UNMC-33	5	0.0980564352345636
WCM032	5	0.0660570473748816
UNMC-62	5	-0.0235297893081066
IA2852	5	0.139341988141202
MCL-14	5	0.000637220506279797
IA4227	5	0.138895133871334
GROUP7-6	5	0.167923315987736
GROUP5-4	5	-0.0132131245918448
IA68	5	-0.120876369697631
UNMC-47	5	0.0781739804802701
UNMC-87	5	-0.102843594463168
GROUP7-20	5	-0.216435215473538
GROUP5-10	5	0.0187759634189376
HUMC4	5	-0.285070515237296
IA2084	5	-0.0632730021111482
IA4203	5	4.95184389674152e-05
UNMC-86	5	0.134064402173141
UNMC-44	5	0.537000845057706
M47-3	5	-0.0558237881093721
GROUP4-3	5	0.0547087085185596
WCM045	5	-0.255949366938823
GROUP7-5	5	0.277805130441457
GROUP4-8	5	-0.129855879238245
UNMC-97	5	-0.0650525093135325
HUMC1	5	-0.158307221018022
IA2334	5	0.148972202703156
MCL-122	5	-0.114859907757845
GROUP4-11	5	0.329606304522394
MCL-25	5	0.0705994058855707
SPECS-3164	5	0.202970691487604
UNMC-71-A5	5	0.204451812966233
WCM041	5	0.452659759511274
UNMC-16	6	0.501745575582384
UNMC-5	6	-0.104770272624165
IA04	6	-0.0916991637554804
IA1857	6	-0.170905337191636
GROUP5-6	6	-0.277424554858583
GROUP4-7	6	0.107746571170661
M22-51	6	0.336001146978317
HUMC-6	6	-0.133426247403542
MCL-37	6	0.350051129877242
UNMC-20	6	-0.150484998148287
UNMC-69	6	0.128637387143989
GROUP6-3	6	0.124398897680747
SPECS-3157	6	-0.225334451142105
MCL-39	6	0.214814198867947
UNMC-48	6	-0.0370668042543351
UNMC-68-A2	7	0.0016678658792645
M47-024	7	-0.306618574757932
SPECS-3163	7	0.077081980655315
S94-7	7	0.301924789616294
SPECS-3155	7	0.313005441488503
GROUP6-2	7	0.170450419181191
SPECS-1917	7	0.257733294283186
SPECS-3158	7	0.236767022266587
UNMC-61	7	0.0276086773332021
MCL-75	7	-0.105801776217874
GROUP5-1	7	-0.0297162023039067
S87-4	7	0.245449266352241
SC08-2	7	0.497742560662622
S06-166	7	0.0376869086061451
S89-9	7	0.00977118442388442
HUMC-10	7	0.0973845892227667
MCL-126	7	0.215033930175918
HUMC3	8	-0.025027434338073
MCL-138	8	-0.0101064521865268
S03-3	8	0.323861678132908
MCL-33	8	-0.0522389939784152
GROUP7-13	8	0.213526481053534
GROUP6-4	8	0.0134741462717186
UNMC-90	8	-0.145886186051311
UNMC-64	8	0.000939982679302374
UNMC-31	8	-0.213306954966306
MCL-61	8	0.537000845057706
GROUP5-3	8	0.503420277718696
GROUP4-5	8	-0.053303122601352
HUMC-12	8	0.0346392414502062
UNMC-88	8	0.312747008902857
UNMC-39	8	0.0476913784868424
GROUP5-2	8	0.265278884414604
GROUP4-10	8	0.469624976430841
GROUP7-11	9	0.270306746911712
GROUP4-6	9	-0.173872171807086
GROUP7-19	9	0.193851361748965
GROUP5-8	9	0.115514811813317
