"names","l","m","n","o"
"ATM",15,32,49,57
"TP53",0,47,19,87
"Amplification-3q22.1-3q22.3",7,40,47,59
"Amplification-8q23.2-8q24.21",0,47,32,74
"Deletion_9p21.1",3,44,21,85
"Deletion_11q22.3",11,36,57,49
"Deletion_TP53",1,46,26,80
"Amplification_15q21.2",7,40,28,78
"Deletion_1p13.1",16,31,13,93
"Wide_peak_1p21.2-22.1",27,20,46,60
"RAD50",4,43,6,100
"PCLO",3,44,5,101
"NOTCH1",4,43,2,104
"SAMHD1",7,40,1,105
"TET2",3,44,5,101
"NSD2",2,45,3,103
"NOTCH2",1,46,5,101
"SMARCA4",6,41,14,92
"CCND1",0,47,17,89
"Amplification_14q32.33",5,42,30,76
"Deletion_13q14.2",7,40,63,43
"S1PR1",3,44,8,98
"Deletion_12p13.2",3,44,10,96
"Deletion_6q25.3",4,43,23,83
"Deletion_9p21.3",4,43,23,83
"CARD11",8,39,5,101
"ANK2",0,47,8,98
"Deletion_13q12.11",12,35,37,69
"SP140",9,38,7,99
"KMT2C",8,39,4,102
"KMT2D",13,34,19,87
"SPEN",4,43,6,100
"DAZAP1",5,42,3,103
"Deletion_6q21",1,46,29,77
"HLA-C",11,36,4,102
