"rnames","pvalue","odds.ratio","cluster"
"Amplification-3q22.1-3q22.3",7.36768866034024e-13,20.0852407805406,1
"Deletion_9p21.1",5.74210073755412e-07,10.9487531725473,1
"Deletion_9p21.3",9.65235493837956e-07,9.2638597802737,1
"Amplification-8q23.2-8q24.21",0.00120723941498802,3.99714003679624,1
"Wide_peak_1p21.2-22.1",0.0679019816928181,0.495103637844896,1
"Deletion_11q22.3",1.06828854512819e-06,8.54202842582231,2
"ANK2",0.0121442222123714,6.84336381577359,2
"Amplification_15q21.2",0.000255708026923811,4.93613483218135,2
"Amplification_14q32.33",0.000255708026923811,4.93613483218135,2
"CCND1",0.0119274881383172,3.90097611294886,2
"Deletion_6q21",1.21719945515916e-15,195.325412787401,3
"Deletion_6q25.3",2.40368692147058e-11,42.0048013475838,3
"NOTCH2",0.00276636919598829,15.8016668365152,3
"ATM",0.000383969501983209,6.99227281419735,3
"SMARCA4",0.0767945732032104,0,3
"SAMHD1",0.00112905227168501,18.0170580168818,4
"HLA-C",0.000439261663155707,7.66835439940699,4
"KMT2C",0.00840957564096164,5.16522279780862,4
"NOTCH1",0.0722696785761439,4.78066900056905,4
"CARD11",0.0232521059800947,4.09908693151545,4
"DAZAP1",0.0586546500517252,4.04433250832984,4
"Deletion_1p13.1",0.00304343467840016,3.65555621366876,4
"SP140",0.0409086836136182,3.31934548638515,4
"Deletion_TP53",4.38221357314397e-08,40.6953865131015,5
"TP53",5.11031890570752e-07,27.7731273454408,5
"SPEN",0.00506925731556603,9.62117691449959,5
"Deletion_13q12.11",0.00464153911122031,5.55263721025863,5
"Deletion_13q14.2",0.0217482304386912,4.40333516248617,5
