Hybridization REF	p	difference	q	subclass
Composite Element REF	p	difference	q	subclass
AMPLIFICATION-3Q22.1-3Q22.3	0.000338281735886557	1.20886075949367	0.0023679721512059	1
AMPLIFICATION-3Q23-3Q29	0.000325059757912773	1.20759493670886	0.0023679721512059	1
SAMHD1	0.0243792582694605	-0.0632911392405063	0.0711061699525931	1
DAZAP1	0.0243792582694605	-0.0632911392405063	0.0711061699525931	1
BIRC3	0.0243792582694605	-0.0632911392405063	0.0711061699525931	1
ARID1A	0.00732663558931128	-0.0886075949367089	0.0366331779465564	1
AMPLIFICATION_18Q21.33	0.0199373947248403	-0.10126582278481	0.0711061699525931	1
RAD50	0.00401910068877579	-0.10126582278481	0.0234447540178588	1
SP140	0.000100937182720163	-0.177215189873418	0.00117760046506857	1
DELETION_6Q21	1.4653375951201e-05	-0.215189873417722	0.000256434079146018	1
DELETION_17P11.2	9.87497991578788e-07	-0.265822784810127	3.45624297052576e-05	1
ATM	0.013972591698735	-0.317721518987342	0.0611300886819656	1
DELETION_11Q22.3	0.0471045802066271	-0.318987341772152	0.126820023633227	1
DELETION_11Q22.3	3.29716003189237e-17	0.63013698630137	1.15400601116233e-15	2
ATM	0.00011212471637228	0.524828767123288	0.00078487301460596	2
DELETION_13Q14.2	0.00587028517398916	0.38013698630137	0.0194851962994052	2
SAMHD1	0.0242959250583525	-0.0684931506849315	0.0607398126458812	2
DAZAP1	0.0242959250583525	-0.0684931506849315	0.0607398126458812	2
AMPLIFICATION_18Q21.33	0.0198530096631339	-0.10958904109589	0.0579046115174739	2
RAD50	0.00396467300252748	-0.10958904109589	0.0154181727876069	2
S1PR1	0.00396467300252748	-0.10958904109589	0.0154181727876069	2
TP53	0.000338920486650878	-0.164383561643836	0.00197703617213012	2
DELETION_9P21.1	9.53719241909948e-05	-0.191780821917808	0.00078487301460596	2
SP140	9.53719241909948e-05	-0.191780821917808	0.00078487301460596	2
DELETION_9P21.3	2.59625776666762e-05	-0.219178082191781	0.000454345109166833	2
