,GROUP6.1,UNMC.44,M47.3,MCL.28,GROUP7.15,MCL.38,MCL.98,UNMC.28,MCL.128,MCL.35,UNMC.23,MCL.71,GROUP5.7,MCL.24,UNMC.37,IA.02,MCL.109,SC01.10,M47.025,IA4203,UNMC.79.C1,UNMC.47,GROUP5.10,UNMC.81,UNMC.59,UNMC.71.A5,GROUP5.9,GROUP4.11,WCM032,GROUP4.8,UNMC.8,GROUP7.5,GROUP5.3,HUMC.9,UNMC.33,GROUP7.9,UNMC.87,IA2084,GROUP7.20,HUMC4,S92.5,HUMC.7,IA4227,MCL.40,UNMC.48,GROUP7.22,SPECS.3164,IA4289,GROUP4.3,S03.8,MCL.146,HUMC.8,UNMC.18,HUMC.6,S03.3,HUMC3,GROUP7.13,UNMC.90,GROUP4.9,GROUP7.1,UNMC.16,WCM062,UNMC.5,M47.027,IA1857,GROUP4.2,GROUP5.6,GROUP7.17,M22.51,MCL.37,IA2268,GROUP4.1,GROUP4.4,UNMC.20,GROUP6.3,MCL.39,GROUP7.6,UNMC.97,GROUP7.3,UNMC.31,GROUP4.5,UNMC.39,UNMC.64,UNMC.61,GROUP4.6,HUMC.12,UNMC.88,GROUP5.2,UNMC.6,UNMC.86,UNMC.85,SC08.2,IA2745,HUMC5,GROUP5.5,IA834,GROUP5.8,MCL.126,MCL.14,IA04,IA2852,GROUP5.4,MCL.61,HUMC1,IA2334,MCL.122,UNMC.7,UNMC.68.A2,GROUP5.1,S87.4,SPECS.3163,SPECS.3155,GROUP7.11,SC02.11,S06.166,S89.9,HUMC.10,WCM041,MCL.42,UNMC.55,GROUP7.14,M47.022,IA4885,S08.1,UNMC.84,SC86.6,IA68,M47.023,UNMC.51,GROUP7.2,M47.024,HUMC.15,BC04,M47.029,UNMC.24,UNMC.69,SPECS.3157,GROUP7.19,MCL.138,MCL.33,SPECS.3158,GROUP6.4,GROUP6.2,IA1147,GROUP4.7,S94.7,WCM045,GROUP4.10,UNMC.62,SPECS.1917,MCL.75,MCL.45,MCL.25
Amplification-3q22.1-3q22.3,Broad_Amp;,Low_Amp;,Low_Amp;,Broad_Amp;,Broad_Amp;,Broad_Amp;,Broad_Amp;,Broad_Amp;,Broad_Amp;,Broad_Amp;,Broad_Amp;,Broad_Amp;,Low_Amp;,Broad_Amp;,Broad_Amp;,Broad_Amp;,Broad_Amp;,Low_Amp;,,,Low_Amp;,,,Broad_Amp;,Low_Amp;,Low_Amp;,,,,,Broad_Amp;,,,,,,,Low_Amp;,,,,,,,,,,NA,,NA,NA,,Broad_Amp;,,,,Low_Amp;,,,,,,,,Broad_Amp;,Broad_Amp;,,,,,,Low_Amp;,,Low_Amp;,,,,Low_Amp;,,Low_Amp;,Broad_Amp;,,Low_Amp;,,,Low_Amp;,Broad_Amp;,,Broad_Amp;,,,,Low_Amp;,,,Low_Amp;,,,,,,,,,NA,,Low_Amp;,,,,,Low_Amp;,Broad_Amp;,Low_Amp;,Low_Amp;,,Low_Amp;,,,Low_Amp;,Broad_Amp;,,,Low_Amp;,,Low_Amp;,,,,Broad_Amp;,Low_Amp;,,,Low_Amp;,,,,Broad_Amp;,,,,Broad_Amp;,,,,,,,,,,,
S1PR1,MUT;,MUT;,MUT;,,,,,,,,,,,,,,,,MUT;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT;,,,,,,,,,,,,MUT;,,,,,,,,NA,MUT;,,,,MUT;,,,MUT;,,,,,,,,,,,,,,,,,,,,,,,,,MUT;,MUT;,,,,,,,,,,,,,,
Deletion_8p23.3,Loss;,Loss;,,Loss;,,,,Loss;,,,Loss;,,,,Loss;,,,,,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,,,,,,,,,,,,,,NA,,NA,NA,,Loss;,,Loss;,,Loss;,,,,,Loss;,,,,,,,,,,,,Loss;,,,,Loss;,,Loss;,Loss;,Loss;,,,,Loss;,,,,,Loss;,,,,,,,,,,,Loss;,,,NA,,Loss;,Loss;,,,,,,,,,,,,Loss;,Loss;,Loss;,,,,,,,,Loss;,Loss;,,,,,Loss;,Loss;,,Loss;,,,Loss;,,,,,,Loss;,,,,,
KMT2D,,,,MUT;,,,,,MUT;,,,,,,,,,,,MUT;,MUT;,MUT;,MUT;,MUT;,MUT;,,,,,,,,,,MUT;,MUT;,MUT;,MUT;,MUT;,MUT;,MUT;,MUT;,,,,,,NA,,NA,NA,MUT;,MUT;,,,,,,MUT;,,MUT;,MUT;,,,,,,,,,,,,,,,,,,,,,MUT;,MUT;,,,,,MUT;,,,,MUT;,,,,,,,,,,,,NA,,MUT;,,,,,,MUT;,,,,,,,MUT;,,,MUT;,,,MUT;,MUT;,,,,,,,,,,,,,,,,,MUT;,,,,,,,,,
Deletion_1p13.1,,Loss;,,Loss;,,,,,,,,Loss;,,,,,,,,Loss;,Loss;,Loss;,,,,Loss;,Loss;,,,,,,,,Loss;,Loss;,,,,,,,Loss;,Loss;,Loss;,Loss;,,NA,,NA,NA,,Loss;,,,,,,,,,,,,,,,,,Loss;,,,,Loss;,,,Loss;,,,,,,,,,,,,,,Loss;,Loss;,,,,,,Loss;,,Loss;,,,,,NA,,,,,,,,,,Loss;,,,,,Loss;,,,,,,,,,,,,Loss;,,Loss;,,,,,,Loss;,,,,,Loss;,,Loss;,,,,,,
SAMHD1,,,,,,,,,,,,,,,,,,,,MUT;,,,,,,,,MUT;,MUT;,MUT;,,,,,,,MUT;,MUT;,,,,,MUT;,,,,,NA,,NA,NA,,,,,,,,,,,,,,,,,MUT;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPEN,MUT;,,,,,,,,,,,,,,,,,,,,MUT;,,,,,MUT;,,MUT;,,,,,,,,,,,,,,,,MUT;,,,MUT;,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,,,MUT;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,MUT;,,MUT;,MUT;,,,,,,,,,,,,,,,,,,,,,,,,
RAD50,,,MUT;,,,,,,,,,,,,,,,,,,,,MUT;,,,,,,,,MUT;,MUT;,,,,,,,MUT;,MUT;,,,,,,,,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,MUT;,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,MUT;,,,MUT;,,,MUT;,,,,,,,,,,,,,,,,,,,,,,,,,,
Amplification_13q31.3,,,,,,,,,,,,,,,,,,,,,,,,Broad_Amp;,,,,,Low_Amp;,,,,Low_Amp;,,,,,,,,Low_Amp;,,,,,,,NA,,NA,NA,,,,,,,,,,,,,,,,,,,,,,,Low_Amp;,,,,,,,,,,Low_Amp;,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,Broad_Amp;,,,,,Broad_Amp;,,,,,,,,,,,,,,,,,,,,,,,,,,
Deletion_11q22.3,Loss;,,,,,,,,,,,,,,,Loss;,,,Loss;,,,,,,Loss;,,Loss;,,,,,,Loss;,,,,,,,Loss;,,,,,,Loss;,,NA,,NA,NA,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,Loss;,,,,,,,NA,,Loss;,Loss;,,,Loss;,,,,Loss;,,,,,,,,,Loss;,Loss;,,,,,,,,,,,Loss;,Loss;,Loss;,,,Loss;,,,,Loss;,Loss;,Loss;,,,,,,
