Hybridization REF	p	difference	q	subclass
AMPLIFICATION-3Q22.1-3Q22.3	1.63103100346474e-09	1.40220588235294	5.70860851212659e-08	1
AMPLIFICATION-8Q23.2-8Q24.21	0.00527838132331346	0.732352941176471	0.0425198163480857	1
DELETION_8P23.3	0.02262535696143	0.325735294117647	0.0609144225884654	1
SAMHD1	0.0133633708522555	-0.075	0.0425198163480857	1
BORCS8-MEF2B	0.0133633708522555	-0.075	0.0425198163480857	1
DAZAP1	0.0133633708522555	-0.075	0.0425198163480857	1
SPEN	0.00733714827278625	-0.0875	0.0425198163480857	1
S1PR1	0.00733714827278625	-0.0875	0.0425198163480857	1
AMPLIFICATION_13Q31.3	0.0199501805093624	-0.1	0.0581880264856403	1
TP53	0.00220625233134308	-0.1125	0.0257396105323359	1
HLA-C	0.00120466904642103	-0.125	0.021081708312368	1
DELETION_17P11.2	0.0389898077076593	-0.207352941176471	0.0974745192691483	1
AMPLIFICATION_15Q21.2	0.0112020018799487	-0.228676470588235	0.0425198163480857	1
ATM	0.00886159498415295	-0.311029411764706	0.0425198163480857	1
DELETION_1Q21.1-1Q21.3	2.89273895883742e-05	0.643772893772894	0.000981463301772025	2
DELETION_1P13.1	0.00140481775182573	0.549450549450549	0.00983372426278011	2
RAD50	0.0448210096244096	-0.0476190476190476	0.156873533685434	2
KIAA1671	0.0244392426967647	-0.0595238095238095	0.0950414993763072	2
BORCS8-MEF2B	0.0134096393229407	-0.0714285714285714	0.0670481966147035	2
DAZAP1	0.0134096393229407	-0.0714285714285714	0.0670481966147035	2
AMPLIFICATION_13Q31.3	0.0199981667809126	-0.0952380952380952	0.0874919796664926	2
CARD11	0.0012212755714426	-0.119047619047619	0.00983372426278011	2
SP140	0.000666464732319879	-0.130952380952381	0.00777542187706525	2
DELETION_9P21.1	5.60836172441157e-05	-0.178571428571429	0.000981463301772025	2
AMPLIFICATION_14Q32.33	4.97562028750348e-06	0.833333333333333	8.69124757641902e-05	3
DELETION_19P13.3	4.58999574867694e-05	0.520242914979757	0.000308677322223948	3
DELETION_13Q14.2	0.0073476567458854	0.33940620782726	0.0285742206784432	3
DELETION_11Q22.3	0.0341752532126662	0.273954116059379	0.0996778218702764	3
RAD50	0.0447656329224249	-0.0512820512820513	0.120522857868067	3
BORCS8-MEF2B	0.0133383990371662	-0.0769230769230769	0.0424403605728015	3
KMT2C	0.0133383990371662	-0.0769230769230769	0.0424403605728015	3
CARD11	0.00119575377608627	-0.128205128205128	0.00523142277037743	3
DELETION_9P21.1	5.29161123812483e-05	-0.192307692307692	0.000308677322223948	3
DELETION_9P21.3	7.44964077978773e-06	-0.230769230769231	8.69124757641902e-05	3
DELETION_8P23.3	5.28362998503068e-05	-0.331983805668016	0.000308677322223948	3
AMPLIFICATION_17Q24.3	0.000425215638582878	-0.331983805668016	0.00212607819291439	3
AMPLIFICATION-3Q22.1-3Q22.3	1.83732043054677e-06	-0.625506072874494	6.43062150691369e-05	3
DELETION_9P21.1	4.15722095948556e-06	0.798534798534799	6.64628239647108e-05	4
DELETION_9P21.3	5.6968134826895e-06	0.762820512820513	6.64628239647108e-05	4
DELETION_6Q21	0.0117164902950652	0.431318681318681	0.0469337376302924	4
RAD50	0.0448210096244096	-0.0476190476190476	0.130727944737861	4
TET2	0.0244392426967647	-0.0595238095238095	0.0777612267624331	4
DAZAP1	0.0134096393229407	-0.0714285714285714	0.0469337376302924	4
KMT2C	0.0134096393229407	-0.0714285714285714	0.0469337376302924	4
SPEN	0.00737665029998526	-0.0833333333333333	0.0368832514999263	4
HLA-C	0.0012212755714426	-0.119047619047619	0.0085489290000982	4
CARD11	0.0012212755714426	-0.119047619047619	0.0085489290000982	4
DELETION_1P13.1	1.10401415416587e-06	-0.25	3.86404953958054e-05	4
AMPLIFICATION_14Q32.33	0.00717365659891378	-0.292124542124542	0.0368832514999263	4
ATM	1.45361924009409e-05	0.551960784313726	0.00016958891134431	5
DELETION_11Q22.3	3.36268264523178e-05	0.516666666666667	0.000294234731457781	5
DELETION_13Q14.2	0.0354286937662599	0.326470588235294	0.0688891267677276	5
RAD50	0.0448294384119088	-0.0470588235294118	0.0825805444429899	5
TET2	0.0244503589891558	-0.0588235294117647	0.0534851602887783	5
SAMHD1	0.0134205056784044	-0.0705882352941176	0.0314441001274577	5
DAZAP1	0.0134205056784044	-0.0705882352941176	0.0314441001274577	5
KMT2C	0.0134205056784044	-0.0705882352941176	0.0314441001274577	5
DELETION_12P13.2	0.0134205056784044	-0.0705882352941176	0.0314441001274577	5
SPEN	0.0073859343732267	-0.0823529411764706	0.0287230781181038	5
S1PR1	0.0073859343732267	-0.0823529411764706	0.0287230781181038	5
TP53	0.00223492765101759	-0.105882352941176	0.0111746382550879	5
DELETION_9P21.1	5.65778239847908e-05	-0.176470588235294	0.000396044767893536	5
DELETION_TP53	8.0419362059896e-05	-0.223529411764706	0.000469112945349393	5
DELETION_17P11.2	0.0260317533250519	-0.234313725490196	0.0535947862574598	5
DELETION_13Q12.11	0.0122368445562167	-0.269607843137255	0.0314441001274577	5
AMPLIFICATION_14Q32.33	0.0134760429117676	-0.281372549019608	0.0314441001274577	5
DELETION_1Q21.1-1Q21.3	7.60399671460117e-09	-0.329411764705882	2.66139885011041e-07	5
AMPLIFICATION_17Q24.3	8.84824958109756e-07	-0.364705882352941	1.54844367669207e-05	5
CARD11	0.026585960140012	0.442528735632184	0.0581567878062762	6
SP140	0.0298787617486272	0.431034482758621	0.0615150977177619	6
KMT2C	0.0466599879343933	0.377011494252874	0.0907277543168759	6
TET2	0.0244717950588958	-0.0574712643678161	0.0571008551374235	6
KIAA1671	0.0244717950588958	-0.0574712643678161	0.0571008551374235	6
SAMHD1	0.0134414670689159	-0.0689655172413793	0.0361885651855428	6
BORCS8-MEF2B	0.0134414670689159	-0.0689655172413793	0.0361885651855428	6
SPEN	0.00740385085892246	-0.0804597701149425	0.0235577072783896	6
TP53	0.00224548863729126	-0.103448275862069	0.00785921023051941	6
DELETION_9P21.1	5.75395064299346e-05	-0.172413793103448	0.000287697532149673	6
DELETION_6Q21	3.06346391876281e-05	-0.183908045977011	0.000178702061927831	6
DELETION_9P21.3	8.50158722532766e-06	-0.206896551724138	7.4388888221617e-05	6
DELETION_TP53	8.16628029208199e-05	-0.218390804597701	0.000357274762778587	6
AMPLIFICATION-8Q23.2-8Q24.21	1.66875616849069e-05	-0.310344827586207	0.000116812931794348	6
DELETION_8P23.3	8.35135107100484e-10	-0.35632183908046	1.46148643742585e-08	6
DELETION_13Q12.11	8.35135107100484e-10	-0.35632183908046	1.46148643742585e-08	6
AMPLIFICATION_14Q32.33	2.4763408740788e-07	-0.367816091954023	2.88906435309193e-06	6
AMPLIFICATION-3Q22.1-3Q22.3	0.000246997526182204	-0.566666666666667	0.000960545935153015	6
AMPLIFICATION_15Q21.2	0.0006526331708468	1.51282051282051	0.00761405365987933	7
AMPLIFICATION_17Q24.3	0.0222806646169364	1.08058608058608	0.0571940488137837	7
