GENE,MYC.cn,MYC,MYC.gep.median.centered,,PIK3CA.cn,PIK3CA.gep,PIK3CA.gep.median.centered,EIF4G1.cn,EIF4G1.gep,EIF4G1.gep.median.centered,ATR.cn,ATR.gep,ATR.gep.median.centered,CPSF1.cn,CPSF1.gep,CPSF1.gep.median.centered,TOPBP1.cn,TOPBP1.gep,TOPBP1.gep.median.centered,CCNE2.cn,CCNE2.gep,CCNE2.gep.median.centered,SKIL.cn,SKIL.gep,SKIL.gep.median.centered,RUVBL1.cn,RUVBL1.gep,TFDP2.cn,TFDP2.gep,TFDP2.gep.median.centered,PAK2.cn,PAK2.gep,PAK2.gep.median.centered,ISY1.cn,ISY1.gep,PUF60.cn,PUF60.gep,DVL3.cn,DVL3.gep,DVL3.gep.median.centered,PDCD10.cn,PDCD10.gep,SERPINI1.cn,SERPINI1.gep
1_7,0,3.126173,0.486173,0.478453,0,2.482765,-0.932456,0,5.126495,-0.193801,0,3.831301172,-0.400888828,0,4.520158,0.453175,0,3.547745,-0.595708,0,0.679477647,0.116913647,0,3.903959,-0.972767,0,1.720208,0,3.558698,-0.34113,0,4.289778,-0.25966,0,1.841763,0,2.154907,0,4.47462,0.276157,0,1.970367,0,0.5316682
1_8,1,4.777025,2.137025,2.129305,1,3.008765,-0.406456,1,6.491823,1.171527,1,4.343936926,0.111746926,0,4.484874,0.417891,0,4.11814,-0.025313,1,1.374972956,0.812408956,1,3.695128,-1.181598,0,2.515914,1,4.484874,0.585046,1,4.516127,-0.033311,0,1.231713,0,2.770381,1,5.294515,1.096052,1,2.662783,1,1.624793
1_16,0,1.77375,-0.86625,-0.87397,0,3.098809,-0.316412,0,5.111871,-0.208425,0,4.232189931,-6.9E-08,0,4.527724,0.460741,0,4.007442,-0.136011,0,0.532200805,-0.030363195,0,4.813073,-0.063653,0,1.503863,0,3.885444,-0.014384,0,3.893795,-0.655643,0,1.529815,0,2.603848,0,4.406896,0.208433,0,1.604982,0,0.8803252
1_18,0,2.532249,-0.107751,-0.115471,1,3.307453,-0.107768,1,5.915023,0.594727,1,4.374135686,0.141945686,0,4.252223,0.18524,1,4.517372,0.373919,0,0.676349635,0.113785635,1,5.895829,1.019103,0,1.694087,1,4.760349,0.860521,1,5.068992,0.519554,1,1.856073,0,2.749445,1,5.101071,0.902608,1,2.180016,1,1.106657
1_20,0,1.944149,-0.695851,-0.703571,1,4.241718,0.826497,1,5.459862,0.139566,1,4.726611957,0.494421957,0,2.96671,-1.100273,1,4.83351,0.690057,0,0.861008612,0.298444612,1,5.882928,1.006202,1,2.34144,1,4.739507,0.839679,1,5.320755,0.771317,1,1.812176,0,2.376754,1,4.444038,0.245575,1,2.693201,1,1.962528
1_24,0,1.92791,-0.71209,-0.71981,0,3.41881,0.003589,0,4.563583,-0.756713,0,4.254746234,0.022556234,0,3.537286,-0.529697,0,4.143453,0,0,0.577355215,0.014791215,0,4.992127,0.115401,0,1.732385,0,3.899828,0,0,4.333625,-0.215813,0,1.491068,0,2.177445,0,3.972182,-0.226281,0,1.847335,0,1.065219
1_28,0,2.647722,0.007722,2E-06,1,3.521973,0.106752,1,5.684239,0.363943,1,4.273612613,0.041422613,1,4.36809,0.301107,1,4.49273,0.349277,0,0.501615094,-0.060948906,1,5.357326,0.4806,1,2.517974,1,4.158895,0.259067,1,4.479844,-0.069594,1,2.178421,1,2.879738,1,4.445587,0.247124,1,2.138612,1,1.107684
1_31,1,3.146925,0.506925,0.499205,1,3.767023,0.351802,1,5.799145,0.478849,1,4.402607186,0.170417186,1,4.500078,0.433095,1,5.071236,0.927783,1,0.925888963,0.363324963,1,4.572017,-0.304709,1,3.088166,1,4.79382,0.893992,1,5.154302,0.604864,1,2.275141,1,3.185659,1,5.225428,1.026965,1,2.648598,1,2.118465
1_33,0,2.86214,0.22214,0.21442,0,2.85041,-0.564811,0,5.365147,0.044851,0,3.619486179,-0.612703821,0,4.617816,0.550833,0,4.001344,-0.142109,0,1.405282256,0.842718256,0,3.086229,-1.790497,0,1.802303,0,4.111104,0.211276,0,3.868069,-0.681369,0,1.694887,0,2.452867,0,4.451123,0.25266,0,2.118211,0,0.890477
1_37,0,1.762427,-0.877573,-0.885293,1,3.34935,-0.065871,1,5.317633,-0.002663,1,4.409937161,0.177747161,0,4.342059,0.275076,0,4.186451,0.042998,0,0.377496209,-0.185067791,1,5.391448,0.514722,1,2.120934,1,3.914273,0.014445,1,4.71932,0.169882,1,1.922755,0,2.455828,1,4.590326,0.391863,1,2.235316,1,1.135102
