GENE,ATM.gep,ATM.median.centered,ATM.cn,ATM.mut,ATM.status,TP53.gep,TP53.median.centered,TP53.cn,TP53.mut,TP53.status,BIRC3.gep,BIRC3.median.centered,BIRC3.cn,BIRC3.mut,BIRC3.status
S03.3,4.060911513,-3.981388487,-1,1,Mut_CN,7.28529474,0.10643374,0,0,WT,5.776532644,-3.658471356,0,0,WT
S03.8,7.838889076,-0.203410924,0,0,WT,6.713585672,-0.465275328,0,0,WT,7.90708833,-1.52791567,0,0,WT
S08.1,8.24958476,0.20728476,-1,0,CN,6.346346614,-0.832514386,-1,1,Mut_CN,10.16234275,0.72733875,-1,1,Mut_CN
S87.4,8.717147252,0.674847252,0,0,WT,7.666279384,0.487418384,0,0,WT,8.641691532,-0.793312468,0,0,WT
S89.9,8.777542991,0.735242991,0,0,WT,7.116949152,-0.061911848,0,0,WT,9.743448021,0.308444021,0,0,WT
S92.5,7.598109885,-0.444190115,1,1,Mut_CN,7.539588767,0.360727767,0,0,WT,9.866761328,0.431757328,0,0,WT
SC01.10,8.784442078,0.742142078,0,0,WT,7.142390588,-0.036470412,0,0,WT,9.505802103,0.070798103,0,0,WT
SC02.11,8.005603837,-0.036696163,0,0,WT,7.127261655,-0.051599345,-1,1,Mut_CN,9.257390464,-0.177613536,0,0,WT
SC08.2,7.87166785,-0.17063215,-1,0,CN,7.273262103,0.094401103,0,0,WT,9.677740508,0.242736508,-1,0,CN
SC86.6,8.969415809,0.927115809,0,0,WT,6.818872265,-0.359988735,-1,1,Mut_CN,8.847073774,-0.587930226,0,0,WT
SPECS.1917,7.745499307,-0.296800693,0,2,Mut,7.542221411,0.363360411,0,0,WT,9.452888896,0.017884896,1,0,NA
SPECS.3155,8.269379085,0.227079085,0,1,Mut,7.342223045,0.163362045,0,0,WT,9.011408352,-0.423595648,0,0,WT
SPECS.3157,7.442437191,-0.599862809,-1,1,Mut_CN,7.112232451,-0.066628549,0,0,WT,7.54612404,-1.88887996,0,0,WT
SPECS.3158,7.562818064,-0.479481936,-1,1,Mut_CN,7.171221555,-0.007639445,-1,0,CN,9.438960145,0.003956145,-1,0,CN
SPECS.3163,7.490700416,-0.551599584,-1,1,Mut_CN,7.35942866,0.18056766,0,0,WT,8.108068645,-1.326935355,-1,0,CN
SPECS.3164,8.704959304,0.662659304,0,0,WT,6.940442327,-0.238418673,0,0,WT,9.42169353,-0.01331047,0,0,WT
SPECS.1914,7.665350553,-0.376949447,0,0,WT,6.948318972,-0.230542028,-1,1,Mut_CN,10.44640209,1.01139809,0,0,WT
