MCL-28	UNMC-59	HUMC-8	UNMC-81	UNMC-18	HUMC-7	UNMC-16	UNMC-7	S92-5	UNMC-33	WCM062	GROUP4-9	UNMC-68-A2	M47-024	SPECS-3163	UNMC-5	S94-7	GROUP7-1	M47-027	SPECS-3155	GROUP7-15	WCM032	HUMC3	IA04	HUMC-15	IA1857	GROUP6-2	GROUP5-9	GROUP4-2	UNMC-62	SPECS-1917	IA2852	MCL-38	GROUP5-6	MCL-138	GROUP4-7	MCL-98	GROUP7-17	M47-029	M22-51	HUMC-6	S03-3	MCL-14	MCL-37	MCL-33	IA2268	GROUP4-1	GROUP4-4	MCL-40	GROUP7-13	UNMC-20	UNMC-69	SPECS-3158	IA4227	GROUP6-4	GROUP6-3	UNMC-28	SPECS-3157	MCL-39	MCL-42	UNMC-90	UNMC-48	GROUP7-6	GROUP5-4	IA68	GROUP7-11	UNMC-6	SC86-6	IA4885	UNMC-55	UNMC-47	UNMC-87	GROUP7-9	GROUP7-20	GROUP5-10	UNMC-64	IA2745	HUMC4	UNMC-79-C1	IA2084	IA4203	IA1147	UNMC-61	MCL-128	GROUP7-14	GROUP4-6	GROUP7-2	HUMC5	MCL-35	MCL-75	UNMC-24	M47-023	UNMC-86	GROUP5-1	GROUP5-5	UNMC-8	GROUP6-1	UNMC-23	MCL-71	IA4289	S08-1	UNMC-84	SC02-11	UNMC-44	M47-022	BC04	HUMC-9	GROUP7-22	M47-3	UNMC-51	GROUP4-3	WCM045	UNMC-31	GROUP7-5	GROUP4-8	UNMC-97	HUMC1	MCL-61	S87-4	UNMC-85	SC08-2	S06-166	IA2334	MCL-122	GROUP5-3	GROUP5-7	S89-9	GROUP4-5	M47-025	IA834	HUMC-12	UNMC-88	GROUP4-11	UNMC-39	MCL-25	HUMC-10	GROUP7-19	GROUP5-8	SPECS-3164	UNMC-71-A5	MCL-24	UNMC-37	IA-02	GROUP7-3	S03-8	GROUP5-2	GROUP4-10	MCL-45	MCL-109	SC01-10	WCM041	MCL-146	MCL-126
MCL-28	1	0.634489156355734	0.197690623966094	0.473006774328139	0.706486118753526	0.19034674690672	1.5797245921052e-20	0.315111007616418	-0.0317244578177867	0.159059265919853	0.0793111445444668	-0.0884651736929383	-0.078192905271403	0.475866867266801	-0.0746218788559458	0.209381421597392	-0.0883662588443628	-0.114783407191697	-0.116563101030039	0.475866867266801	0.62318577266043	1.81668328092098e-20	0.159059265919853	-0.0209353509656777	0.117953564923918	0.342339319371167	-0.0571040240720161	0.0147441956154897	0.377932375478448	-0.0571040240720161	-0.17397693079664	0.282772028301961	0.62318577266043	0.02379334336334	0.285748810921662	0.152399365824887	0.580716207900401	-0.0883662588443628	0.365758477979728	0.0793111445444668	0.159059265919853	0.365758477979728	0.0860875553937727	-0.0471520960096449	0.575311356632314	-0.167639302407375	0.259078921902307	5.52903607236819e-21	-0.0167374858756601	0.579117590134569	0.365758477979728	0.154358031914064	-0.0951733734533601	0.0298487515423783	0.753672634764396	-0.0883662588443628	0.612292715271621	-0.078192905271403	0.0860875553937727	0.0180941024284851	0.227301979602797	0.19990406906475	-0.0883662588443628	0.0761386987626881	-0.213060018540262	0.580716207900401	0.299051757299261	0.365758477979728	-0.14276006018004	0.427669659658763	0.159059265919853	0.02379334336334	0.139201934251496	-0.0571040240720161	0.233126202060078	0.653910315448285	0.406484790684069	0.02379334336334	0.344414652340287	0.565254476073297	0.125612105794066	0.116563101030039	0.186523036686508	0.725551023606246	0.401027482582553	1.1847934440789e-20	0.629703105999192	-0.253795662542294	0.523453553993481	NA	-0.0883662588443628	-0.233126202060078	-0.233126202060078	-0.167482807725421	-0.0571040240720161	0.534703310110071	0.600343151300572	0.508086777935663	0.688700443150182	NA	2.43432196406788e-20	-0.102048785878603	0.152399365824887	0.600343151300572	0.137862364937817	-0.14276006018004	0.02379334336334	-0.0883662588443628	0.342624144432096	-0.0317244578177867	-0.114783407191697	-0.0143479258989621	0.497865597085656	0.159059265919853	0.02379334336334	0.397398441798858	-0.14276006018004	0.334749717513201	-0.14276006018004	-0.0127560982348254	-0.212079021226471	0.0642470465776137	NA	-0.0799616276259002	0.300171575650286	0.418707019313553	-0.14276006018004	0.606682601855657	-0.14276006018004	0.06892520655399	0.472438034057148	0.695652173913043	-0.0883662588443628	0.377932375478448	-0.167482807725421	0.466252404120157	0.256601795795258	0.159059265919853	NA	0.27215956255381	0.688700443150182	0.612977248125383	0.320896912380419	0.301382349268974	NA	0.19034674690672	0.0860875553937727	0.286958517979242	0.578867198460353	0.342624144432096	0.0860875553937727	0.19990406906475	-0.133899887005281
UNMC-59	0.634489156355734	1	0.00360618602006596	0.489191800786233	0.689476500115794	0.319444444444444	0.23814483610392	0.442162874977093	0.0277777777777778	0.294017618780332	0.351851851851852	0.107582870727984	0.228217732293819	0.25	0.0958298684730414	0.361111111111111	0.113480484441532	0.0711901785808609	0.23814483610392	0.361111111111111	0.441723441494146	0.0680413817439772	0.113480484441532	0.232191265450476	0.107582870727984	0.327313882943745	-0.0277777777777778	0.258198889747161	0.361344742798547	-0.0277777777777778	-0.179414819067611	0.294017618780332	0.441723441494146	0.319444444444444	0.263544253137539	0.30246429052072	0.400286648227322	0.113480484441532	0.30246429052072	0.189814814814815	0.294017618780332	0.30246429052072	0.159130987416042	0.137620470640795	0.445615948517974	-0.00889600854472706	0.30246429052072	0.23814483610392	0.0146552595440137	0.458144440053444	0.458144440053444	0.466899527823841	0.111111111111111	0.400743086341809	0.430775900375225	0.113480484441532	0.323906112416358	0.361344742798547	0.452267016866645	0.0580913896314105	-0.00780488176318079	0.315063018906302	0.113480484441532	0.166666666666667	-0.223133567997291	0.400286648227322	0.230876937619824	0.30246429052072	-0.134259259259259	0.349501068883912	0.294017618780332	0.319444444444444	0.271896242723789	-0.0277777777777778	0.23814483610392	0.474554753119133	0.474554753119133	0.319444444444444	0.323906112416358	0.65991201759609	0.232191265450476	0.0680413817439772	0.0711901785808609	0.539396214171057	0.0690270639146219	-0.102062072615966	0.165710766389251	-0.134259259259259	0.319444444444444	NA	-0.0670566498972687	-0.272165526975909	-0.102062072615966	0.0183308893776692	0.166666666666667	0.456178857174892	0.642470257046257	0.538536841659474	0.452267016866645	NA	-0.14978617237882	-0.19732211446054	-0.00889600854472706	0.496454289535744	-0.0951061109496652	-0.166666666666667	0.0763888888888889	0.113480484441532	0.166666666666667	0.0277777777777778	-0.134005042034562	0.0711901785808609	0.151767750582208	0.113480484441532	0.0763888888888889	0.351181955666456	-0.166666666666667	-0.15632276846948	-0.166666666666667	0.0632919989779091	-0.0670566498972687	0.0531291508770622	NA	-0.0933520056018673	0.350438322025231	0.232191265450476	-0.166666666666667	0.246096488739087	0.0763888888888889	0.1649582211083	0.458144440053444	0.301382349268974	0.113480484441532	0.0950907217890913	-0.195529486695138	0.0680413817439772	0.349501068883912	0.294017618780332	NA	0.232191265450476	0.452267016866645	0.458734902135984	0.265365979948147	0.351851851851852	NA	0.0763888888888889	0.159130987416042	0.159130987416042	0.35326135281447	0.166666666666667	0.159130987416042	0.315063018906302	0.0146552595440137
HUMC-8	0.197690623966094	0.00360618602006596	1	-0.168316207842815	0.235904065394672	0.167687649933067	0.052999894000318	-0.0551066657472426	-0.122610324682243	0.249110518899488	0.382255718126992	0.620121408917442	0.237022731569989	0.194734045083562	0.447872110261945	0.173096928963166	0.389737424729844	0.446882764235833	0.450499099002703	0.173096928963166	0.0404793376801822	0.052999894000318	0.389737424729844	0.0856715577238275	0.150840342709648	0.120768927987113	0.173096928963166	0.268160609261596	0.237022731569989	0.0216371161203958	0.176668499785137	0.108483613069132	-0.0607190065202733	0.167687649933067	0.140320814050023	0.200953264565465	-0.0955056179775281	0.389737424729844	0.0796883635345811	0.256039207424683	0.5303643305602	0.32221816559635	0.0587145237682116	0.142930084982323	0.145885292176866	0.443483066627234	0.0796883635345811	0.450499099002703	0.334855015469952	0.200953264565465	-0.0415765374963032	-0.162701155043432	0.194734045083562	-0.0271437642582997	0.0975703851854702	0.249110518899488	0.194301686545959	-0.0740696036156215	0.287048782866812	-0.0164543582362907	0.708262307868693	0.199966950342665	0.389737424729844	0.173096928963166	0.153861765486045	-0.0955056179775281	0.23466718037931	0.0796883635345811	0.382255718126992	0.0777825793197633	-0.0321432927612243	-0.0216371161203958	0.163102505638524	0.0216371161203958	-0.079499841000477	0.249110518899488	0.249110518899488	0.167687649933067	-0.211701837579925	-0.0809120267391704	0.0856715577238275	0.052999894000318	0.446882764235833	-0.0933678281673683	0.322606065032061	0.450499099002703	0.281624970352373	0.382255718126992	-0.0216371161203958	NA	0.249110518899488	0.450499099002703	0.052999894000318	-0.247495611202168	0.173096928963166	-0.158965307407103	-0.181979392000718	-0.142868362531453	-0.169619735330389	NA	0.46669547591858	0.498804329640372	-0.0415765374963032	-0.0682422720002692	0.353312202227215	0.167687649933067	-0.210961882173859	0.108483613069132	-0.129822696722375	0.129822696722375	-0.169619735330389	-0.0097857539613686	0.357167439467501	-0.0321432927612243	-0.0216371161203958	0.235904065394672	0.167687649933067	0.468035987531864	-0.0216371161203958	0.0928008055144878	0.108483613069132	0.0778997041855639	NA	-0.118162288838847	-0.0682422720002692	-0.0809120267391704	-0.0216371161203958	0.250136586655294	0.35701241598653	0.332198639670052	0.200953264565465	0.197690623966094	-0.313397104421937	0.444417621693729	-0.0809120267391704	0.185499629001113	-0.0194456448299408	0.108483613069132	NA	-0.0809120267391704	-0.169619735330389	-0.232261388096275	0.0699143050685834	0.256039207424683	NA	0.546337182039993	-0.169619735330389	0.0587145237682116	-0.0239276564192185	-0.129822696722375	0.0587145237682116	-0.118162288838847	0.334855015469952
UNMC-81	0.473006774328139	0.489191800786233	-0.168316207842815	1	0.494993341706208	0.0585229454928316	-0.198486491126054	0.389822138700744	0.174068248132525	-0.0300944441199006	0.0690270639146219	-0.0418446264488753	-0.0369857738977721	0.486190624094293	-0.124244222826085	0.162063541364764	-0.147128393475069	-0.0922986596096345	-0.0882162182782462	0.288112962426248	0.606386246674215	0.352864873112985	-0.147128393475069	0.114869728824551	0.153430296979209	0.435532680694925	-0.0900353007582025	-0.0418446264488753	0.308214782481434	0.036014120303281	-0.0746116552715566	0.203973454590437	0.606386246674215	-0.0990388308340227	0.0367638255436266	0.0115337491901574	0.54468995038022	-0.0300944441199006	0.314294665431789	0.0690270639146219	-0.0300944441199006	0.112454054604034	-0.0162879987546414	0.133819565017997	0.228167326344728	-0.0893865562237197	0.314294665431789	-0.0882162182782462	-0.019000666090581	0.314294665431789	0.415214970845666	0.323909533149526	0.126049421061483	0.172247672554346	0.342628673907713	-0.147128393475069	0.50924604219331	0.135614504291831	-0.0162879987546414	0.164325754061965	-0.166965054758613	0.121031652970736	-0.147128393475069	0.162063541364764	0.206300197491718	0.54468995038022	0.339488416985484	0.516135276259543	0.174068248132525	0.517864054254604	-0.0300944441199006	0.0585229454928316	0.143842631105791	-0.216084721819686	0.132324327417369	0.203973454590437	0.438041353300775	-0.0990388308340227	0.424773949886363	0.530777367672064	-0.0237661507912865	0.132324327417369	0.19274131859659	0.569825817683196	0.182879377431907	0.0220540545695615	0.332033783226393	-0.141055304521184	0.37364649814654	NA	-0.0300944441199006	0.0220540545695615	-0.198486491126054	-0.0237661507912865	-0.216084721819686	0.498054474708171	0.492208387643567	0.541371541187019	0.553791957657807	NA	-0.0485497550863691	-0.08205860395532	0.314294665431789	0.586863846805792	0.372288862140226	0.216084721819686	0.0585229454928316	-0.0300944441199006	0.162063541364764	0.279109432350428	-0.206314650892124	0.0027146664591069	0.169555536091036	-0.0300944441199006	0.0585229454928316	0.129491929053945	-0.0990388308340227	-0.240675103814026	-0.256600607160877	0.00241348835162706	-0.147128393475069	0.143842631105791	NA	-0.143725087902748	0.397552928481343	0.253505608440389	-0.0990388308340227	0.293774319066148	-0.256600607160877	-0.0312980060371234	0.213374360017912	0.401027482582553	0.0869395052352683	-0.123285912992574	-0.162402030407124	0.352864873112985	0.35603153730004	0.321007403945606	NA	0.253505608440389	0.553791957657807	0.446065216726657	0.275745317707407	0.0690270639146219	NA	-0.0990388308340227	-0.0162879987546414	0.173738653382841	0.500322085162979	0.414162383487731	-0.0162879987546414	0.121031652970736	-0.129837884952304
UNMC-18	0.706486118753526	0.689476500115794	0.235904065394672	0.494993341706208	1	0.0918228049219633	0.0710270585715568	0.406177304171403	-0.0998774369326618	0.136408534498795	0.125652259366897	0.329424011529514	0.198526664009825	0.502609037467588	0.115191717623967	0.347960102862177	0.262047974168739	0.169027979762687	0.189405489524151	0.347960102862177	0.596725932539405	0.0710270585715568	0.136408534498795	0.00850455753787859	0.119790549647096	0.431591390061437	-0.0579933504770294	0.329424011529514	0.569109770161498	-0.0579933504770294	-0.193177143759121	0.262047974168739	0.596725932539405	0.0918228049219633	0.257696716019812	0.284781956442315	0.537058191430422	0.136408534498795	0.284781956442315	0.238417107516677	0.387687413838682	0.284781956442315	0.00582855102629955	0.0638485774934829	0.521349630981667	0.176440994752304	0.393122918132326	0.189405489524151	0.00679926082454255	0.501463879822337	0.501463879822337	0.416131781197741	0.309297869210824	0.221289352277621	0.646346372878773	0.136408534498795	0.694375087908379	0.198526664009825	0.209827836946784	-0.0588028681063342	0.0597473241451573	0.146172480622273	0.136408534498795	0.212642285082441	-0.0738231409474727	0.537058191430422	0.358572712735947	0.501463879822337	0.0128874112171177	0.451703303551637	0.136408534498795	0.0918228049219633	0.278389832345038	-0.0579933504770294	0.307783920476746	0.513326853508625	0.638966293178568	0.0918228049219633	0.331641833030867	0.60382358518938	0.157334314450754	0.189405489524151	0.475026908643413	0.639530715530057	0.348792776645303	0.0710270585715568	0.56612358312389	0.125652259366897	0.430117349371302	NA	0.0107690948288523	0.0710270585715568	-0.0473513723810378	0.00850455753787859	-0.0579933504770294	0.528410613720129	0.670662050183114	0.630062690985295	0.617826408787752	NA	0.104239223896532	0.059591891872734	0.176440994752304	0.569046588034157	0.104370647546427	-0.0773244673027059	0.0918228049219633	0.262047974168739	0.212642285082441	0.351181955666456	-0.198170734894185	0.169027979762687	0.411236993403642	0.0107690948288523	0.0918228049219633	0.45067264573991	0.0918228049219633	0.125786325254037	-0.246471739527375	0.150275205592112	0.0107690948288523	0.050023172999499	NA	-0.138051787254369	0.365815663736244	0.306164071363629	-0.0773244673027059	0.601510896250582	-0.0773244673027059	0.109197868478411	0.609804841512348	0.551942280276192	-0.114870344841091	0.105880887471907	0.00850455753787859	0.307783920476746	0.625435343379189	0.513326853508625	NA	0.454993828276505	0.617826408787752	0.510788619947864	0.344905007565226	0.351181955666456	NA	0.260970077146632	0.209827836946784	0.209827836946784	0.662703748963338	0.347960102862177	0.209827836946784	0.146172480622273	0.00679926082454255
HUMC-7	0.19034674690672	0.319444444444444	0.167687649933067	0.0585229454928316	0.0918228049219633	1	0.35721725415588	0.132648862493128	0.319444444444444	0.402339899383612	0.319444444444444	0.258198889747161	0.0285272165367274	-0.0416666666666667	0.11107552936648	0.166666666666667	0.131534197875412	0.0125629726907402	0.102062072615966	0.166666666666667	0.0779511955577904	0.102062072615966	0.131534197875412	0.210805227843195	0.0322748612183951	0.0258405697060851	0.166666666666667	0.0322748612183951	0.0285272165367274	0.458333333333333	0.187877782231177	0.131534197875412	0.0779511955577904	0.270833333333333	-0.00500400480640897	0.0533760512683624	0.0595020693310884	0.131534197875412	0.0533760512683624	0.0763888888888889	0.131534197875412	0.0533760512683624	0.364326208031464	0.137620470640795	0.0387492129146064	0.0533760512683624	0.0533760512683624	0.102062072615966	0.168535484756158	0.0533760512683624	0.0533760512683624	-0.00614341483978738	-0.0416666666666667	0.11107552936648	-0.0183308893776692	0.131534197875412	0.0111691762902193	0.0285272165367274	0.364326208031464	0.205960381420455	0.0468292905790847	0.560112033611204	0.131534197875412	0.166666666666667	-0.00548689101632684	0.0595020693310884	-0.0549036619949582	0.0533760512683624	0.0763888888888889	-0.0374465430947049	0.402339899383612	0.635416666666667	0.173451051392762	0.166666666666667	0.102062072615966	0.131534197875412	0.131534197875412	0.270833333333333	0.0111691762902193	0.210805227843195	0.210805227843195	0.102062072615966	0.0125629726907402	0.119865825371346	-0.256600607160877	-0.153093108923949	-0.20337230420499	-0.166666666666667	-0.09375	NA	0.131534197875412	-0.153093108923949	0.102062072615966	-0.109985336266015	-0.125	-0.216084721819686	-0.131414370759462	-0.158048855704411	-0.0753778361444409	NA	-0.224679258568229	-0.184291408788618	0.0533760512683624	-0.131414370759462	-0.197528076587766	-0.09375	-0.09375	-0.139271503632789	-0.125	-0.166666666666667	0.364326208031464	0.0125629726907402	-0.0629674709862354	0.131534197875412	0.270833333333333	-0.0773244673027059	0.270833333333333	0.168535484756158	-0.09375	-0.184291408788618	-0.139271503632789	-0.154699586377328	NA	-0.0525105031510504	-0.131414370759462	-0.109985336266015	-0.09375	-0.216084721819686	-0.09375	-0.14484136487558	-0.180144173030723	-0.14276006018004	-0.139271503632789	-0.171163299220364	-0.109985336266015	-0.153093108923949	-0.224679258568229	-0.139271503632789	NA	-0.109985336266015	-0.0753778361444409	-0.103215352980596	-0.158048855704411	-0.166666666666667	NA	-0.09375	-0.0753778361444409	-0.0753778361444409	-0.103674527456421	-0.125	-0.0753778361444409	-0.0525105031510504	-0.0879315572640824
UNMC-16	1.5797245921052e-20	0.23814483610392	0.052999894000318	-0.198486491126054	0.0710270585715568	0.35721725415588	1	0.129968811227509	0.0680413817439772	0.151619608715781	0.23814483610392	0.158113883008419	0.139754248593737	-0.262445329583912	0.128036879932896	0.408248290463863	0.341144119610507	-0.0307728727448332	0.107142857142857	-7.19263485580922e-20	-0.0545544725589981	-0.0714285714285714	0.341144119610507	0.0449013255066937	2.5714112318677e-20	-6.1763299984896e-20	0.204124145231931	-5.99995954102464e-20	0.139754248593737	-1.27254308987394e-19	-0.149255578531498	-0.0379049021789452	-0.0545544725589981	0.612372435695795	-0.049029033784546	0.196116135138184	-0.079499841000477	0.151619608715781	-0.130744090092123	0.23814483610392	0.151619608715781	0.0326860225230307	0.184637236468999	0.168549965615811	0.0237289498938125	0.196116135138184	0.196116135138184	0.107142857142857	0.0358979079308869	0.196116135138184	0.359546247753337	0.240771706171538	0.174963553055941	-0.032009219983224	0.0449013255066937	0.341144119610507	-0.164152696549375	0.139754248593737	0.492365963917331	0.0776150525706333	0.0286769667338202	0.342997170285018	0.151619608715781	-1.10655920858603e-20	-0.053760333057047	-0.079499841000477	-0.124140883290355	0.0326860225230307	-0.102062072615966	-0.235864088262432	0.151619608715781	0.102062072615966	-0.137794563652388	0.204124145231931	0.107142857142857	0.341144119610507	0.151619608715781	0.35721725415588	-0.164152696549375	0.0449013255066937	0.0449013255066937	0.285714285714286	0.123091490979333	-1.98957949289143e-20	-0.308756763973862	-0.0714285714285714	-0.221403721385024	-0.102062072615966	-0.153093108923949	NA	-0.227429413073671	-0.25	-0.0714285714285714	0.0449013255066937	0.204124145231931	-0.352864873112985	-0.0613139339484966	-0.258092700604382	-0.123091490979333	NA	-0.104828483672192	-0.0273587827582291	-0.130744090092123	-0.214598768819738	-0.322561998342282	-0.153093108923949	-0.153093108923949	-0.0379049021789452	-0.204124145231931	-0.272165526975909	0.184637236468999	0.123091490979333	-0.261018448831937	-0.227429413073671	-0.153093108923949	-0.284108234286227	-0.153093108923949	-0.143591631723548	0.102062072615966	-0.164152696549375	-0.0379049021789452	-0.137794563652388	NA	-0.0857492925712544	0.0919709009227449	0.0449013255066937	-0.153093108923949	-0.132324327417369	0.102062072615966	-0.0886968593983624	0.0326860225230307	-0.116563101030039	-0.227429413073671	-0.139754248593737	0.0449013255066937	-0.25	-0.104828483672192	-0.0379049021789452	NA	-0.179605302026775	-0.123091490979333	-0.168549965615811	0.0286769667338202	-0.102062072615966	NA	0.102062072615966	0.184637236468999	-0.123091490979333	-0.16929979439493	-0.204124145231931	-0.123091490979333	-0.0857492925712544	0.0358979079308869
UNMC-7	0.315111007616418	0.442162874977093	-0.0551066657472426	0.389822138700744	0.406177304171403	0.132648862493128	0.129968811227509	1	-0.0530595449972511	0.197058203035701	0.194551664989921	0.197278784766429	0.174371458115729	0.530595449972511	0.0499224032344734	0.127342907993403	0.0591174609107103	0.14398249279325	5.28421753080839e-21	0.127342907993403	0.198530638477829	2.28982759668364e-20	0.0591174609107103	-0.116715437972888	0.197278784766429	0.157949437947797	-0.169790543991204	0.312358075880179	0.276088142016571	-0.169790543991204	-0.155188560886504	0.0591174609107103	0.496326596194572	0.318357269983507	0.0764669428393299	0.0169926539642955	0.247979995862592	0.197058203035701	0.254889809464433	0.0707460599963348	-0.0788232812142804	0.135941231714364	0.0319961095096111	0.473174755132128	0.0123360936375037	0.135941231714364	0.373838387214502	0.129968811227509	0.0373248673546555	0.135941231714364	0.135941231714364	0.422452967782508	0.318357269983507	0.0499224032344734	0.116715437972888	-0.0788232812142804	0.426694616606246	-0.0290619096859548	0.255968876076889	0.524551878030223	-0.0894506706241305	0.178315737905373	0.0591174609107103	0.127342907993403	-0.11179466525791	0.247979995862592	0.0107562953506536	0.373838387214502	0.194551664989921	0.476855169197999	0.334998945160691	-0.0530595449972511	-0.0596966521050472	0.127342907993403	0.389906433682527	0.197058203035701	0.334998945160691	0.132648862493128	0.725380848230617	0.210087788351199	0.373489401513243	8.80702921801398e-21	0.14398249279325	0.305281255436332	0.149049641267931	-0.129968811227509	0.287755784697582	0.0707460599963348	0.132648862493128	NA	-0.0788232812142804	8.80702921801398e-21	-1.14491379834182e-20	0.0466861751891553	0.127342907993403	0.332495353597693	0.446258349990214	0.327985792288479	0.255968876076889	NA	0.0953710338395998	0.128008384981874	0.135941231714364	0.223129174995107	0.0838459989434324	0.318357269983507	0.132648862493128	0.197058203035701	-0.0212238179989004	0.318357269983507	0.0319961095096111	0.14398249279325	0.185041404562556	-0.0788232812142804	0.132648862493128	-0.0246168063134184	-0.0530595449972511	-0.0933121683866388	-0.0530595449972511	0.0284463077737497	-0.0788232812142804	0.358179912630283	NA	-0.13373680342903	0.223129174995107	0.210087788351199	-0.0530595449972511	0.332495353597693	-0.0530595449972511	0.0614817353366329	0.0169926539642955	0.145435849669116	-0.0788232812142804	-0.0290619096859548	-0.280117051134932	0.259937622455018	0.1907420676792	0.334998945160691	NA	0.373489401513243	0.255968876076889	0.350499818616391	0.119267560832174	-0.0530595449972511	NA	-0.0530595449972511	0.0319961095096111	0.0319961095096111	0.146691286790472	0.275909633985706	0.255968876076889	0.178315737905373	-0.0933121683866388
S92-5	-0.0317244578177867	0.0277777777777778	-0.122610324682243	0.174068248132525	-0.0998774369326618	0.319444444444444	0.0680413817439772	-0.0530595449972511	1	0.113480484441532	0.0277777777777778	0.107582870727984	-0.0380362887156365	-0.0277777777777778	-0.0566267404613426	-0.0277777777777778	-0.0670566498972687	-0.0753778361444409	-0.102062072615966	-0.0277777777777778	-0.0779511955577904	0.23814483610392	-0.0670566498972687	0.232191265450476	-0.0430331482911935	0.086135232353617	-0.0277777777777778	0.107582870727984	-0.171163299220364	0.166666666666667	0.0575481495122524	-0.0670566498972687	-0.0779511955577904	0.0763888888888889	0.0300240288384538	-0.00889600854472706	0.0216371161203958	0.113480484441532	-0.00889600854472706	0.0277777777777778	-0.0670566498972687	-0.00889600854472706	0.452267016866645	-0.0229367451067992	-0.119476739820036	-0.164576158077451	-0.00889600854472706	-0.102062072615966	0.0146552595440137	-0.164576158077451	-0.00889600854472706	-0.106485857222981	-0.166666666666667	0.0958298684730414	-0.103875039806792	0.113480484441532	-0.0670150577413156	0.0950907217890913	0.159130987416042	0.0580913896314105	-0.144390312618845	0.315063018906302	-0.0670566498972687	-0.0277777777777778	0.032921346097961	-0.104579394581913	-0.0647581654299507	-0.164576158077451	0.0277777777777778	-0.274607982694502	-0.0670566498972687	0.0763888888888889	-0.165637940969665	-0.0277777777777778	0.0680413817439772	-0.0670566498972687	-0.0670566498972687	0.0763888888888889	0.0632919989779091	0.0183308893776692	0.0183308893776692	-0.102062072615966	0.0711901785808609	-0.019977637561891	-0.35113767295699	-0.102062072615966	-0.361550763031094	-0.134259259259259	-0.166666666666667	NA	-0.247593784236069	-0.102062072615966	0.0680413817439772	0.232191265450476	-0.222222222222222	-0.279109432350428	-0.0876095805063078	-0.280975743474508	-0.134005042034562	NA	-0.274607982694502	-0.19732211446054	-0.320256307610174	-0.233625548016821	-0.0951061109496652	-0.166666666666667	0.319444444444444	0.113480484441532	-0.0277777777777778	-0.134259259259259	-0.134005042034562	-0.221945850869743	-0.3003064000882	-0.247593784236069	-0.166666666666667	-0.438171981382	-0.166666666666667	-0.15632276846948	-0.166666666666667	0.193599055697134	0.294017618780332	-0.165637940969665	NA	-0.0933520056018673	-0.0876095805063078	-0.195529486695138	0.319444444444444	-0.174068248132525	-0.166666666666667	-0.257495759778809	-0.320256307610174	-0.253795662542294	-0.0670566498972687	-0.171163299220364	0.0183308893776692	-0.272165526975909	-0.274607982694502	-0.0670566498972687	NA	0.0183308893776692	-0.134005042034562	-0.183493960854393	-0.280975743474508	-0.296296296296296	NA	-0.166666666666667	-0.134005042034562	-0.134005042034562	-0.184310271033637	-0.0277777777777778	-0.134005042034562	-0.0933520056018673	-0.15632276846948
UNMC-33	0.159059265919853	0.294017618780332	0.249110518899488	-0.0300944441199006	0.136408534498795	0.402339899383612	0.151619608715781	0.197058203035701	0.113480484441532	1	0.113480484441532	0.383570641188307	0.0423789689763006	0.0928476690885259	0.165009663911228	0.0309492230295086	0.195402298850575	0.181965066060653	0.341144119610507	0.247593784236069	-0.0289503472408188	-0.0379049021789452	-0.00574712643678161	0.313164384590661	0.215758485668423	0.0383877866420732	0.247593784236069	0.215758485668423	0.190705360393353	0.0309492230295086	-0.116922040813898	0.396551724137931	-0.0289503472408188	0.131534197875412	-0.00743376291812566	0.252747939216272	-0.0522328507369894	0.195402298850575	0.252747939216272	0.113480484441532	-0.00574712643678161	-0.094160996962925	0.214625462533077	0.0255554798357275	0.0575643855701794	0.252747939216272	0.0792934711266737	0.530668630505232	0.0598710942961581	-0.094160996962925	-0.094160996962925	-0.00912642796988989	0.0928476690885259	0.165009663911228	-0.146370310189113	0.195402298850575	0.016592511746971	-0.105947422440752	0.214625462533077	0.10002769316032	0.0695678476053965	0.377036951431949	0.597701149425287	0.247593784236069	0.134493490931902	0.0883940550933667	0.0282332882251726	0.0792934711266737	0.113480484441532	0.222516751473049	0.396551724137931	0.131534197875412	0.135800325856889	0.46423834544263	0.151619608715781	-0.00574712643678161	-0.00574712643678161	0.131534197875412	0.161776989532967	0.0748871354455929	0.313164384590661	0.151619608715781	0.0186630836985285	0.0222585249782035	-0.147128393475069	-0.0379049021789452	-0.0671382912092301	0.113480484441532	-0.139271503632789	NA	0.396551724137931	0.151619608715781	-0.0379049021789452	-0.163390113699475	0.247593784236069	-0.0869395052352683	-0.032537381359337	0.0695678476053965	-0.111978502191171	NA	-0.194702157538918	-0.128591966039025	-0.267615465052524	-0.032537381359337	-0.00815112066253952	-0.139271503632789	-0.139271503632789	-0.00574712643678161	0.0309492230295086	0.113480484441532	-0.111978502191171	0.0186630836985285	-0.0935421265515415	-0.206896551724138	-0.139271503632789	-0.114870344841091	0.131534197875412	0.0598710942961581	-0.139271503632789	-0.128591966039025	-0.206896551724138	-0.229815936065504	NA	-0.0780076451238516	-0.195224288156022	0.0748871354455929	-0.139271503632789	-0.0869395052352683	-0.139271503632789	0.098620009519521	-0.094160996962925	-0.212079021226471	-0.206896551724138	-0.105947422440752	-0.163390113699475	-0.227429413073671	0.222516751473049	-0.00574712643678161	NA	0.0748871354455929	-0.111978502191171	-0.153332879014365	-0.0826118190314083	0.113480484441532	NA	-0.139271503632789	-0.111978502191171	-0.111978502191171	-0.154015011490929	-0.185695338177052	0.541229427257326	0.377036951431949	-0.130627842100709
