"names","l","m","n","o"
"ATM",10,30,54,59
"TP53",8,32,11,102
"Amplification-3q22.1-3q22.3",33,7,21,92
"Amplification-8q23.2-8q24.21",16,24,16,97
"Deletion_9p21.1",17,23,7,106
"Deletion_11q22.3",17,23,51,62
"Deletion_TP53",8,32,19,94
"Amplification_15q21.2",4,36,31,82
"Deletion_1p13.1",4,36,25,88
"Wide_peak_1p21.2-22.1",14,26,59,54
"RAD50",3,37,7,106
"PCLO",3,37,5,108
"NOTCH1",2,38,4,109
"SAMHD1",0,40,8,105
"TET2",4,36,4,109
"NSD2",2,38,3,110
"NOTCH2",0,40,6,107
"SMARCA4",7,33,13,100
"CCND1",5,35,12,101
"Amplification_14q32.33",5,35,30,83
"Deletion_13q14.2",22,18,48,65
"S1PR1",5,35,6,107
"Deletion_12p13.2",4,36,9,104
"Deletion_6q25.3",4,36,23,90
"Deletion_9p21.3",18,22,9,104
"CARD11",3,37,10,103
"ANK2",2,38,6,107
"Deletion_13q12.11",13,27,36,77
"SP140",2,38,14,99
"KMT2C",2,38,10,103
"KMT2D",8,32,24,89
"SPEN",1,39,9,104
"DAZAP1",0,40,8,105
"Deletion_6q21",5,35,25,88
"HLA-C",0,40,15,98
