"","MCL.28","UNMC.59","UNMC.18","SPECS.3155","GROUP7.15","GROUP4.2","MCL.38","MCL.138","MCL.98","GROUP4.1","GROUP7.13","GROUP6.4","UNMC.28","GROUP7.11","UNMC.64","IA1147","MCL.128","GROUP7.2","MCL.35","UNMC.8","GROUP6.1","UNMC.23","MCL.71","UNMC.44","M47.3","UNMC.31","UNMC.97","MCL.61","GROUP5.7","GROUP4.5","HUMC.12","UNMC.88","UNMC.39","HUMC.10","GROUP7.19","GROUP5.8","MCL.24","UNMC.37","IA.02","GROUP7.3","MCL.45","MCL.109","SC01.10","HUMC.8","UNMC.16","S92.5","WCM062","GROUP4.9","UNMC.68.A2","SPECS.3163","UNMC.5","S94.7","GROUP7.1","M47.027","HUMC3","IA1857","SPECS.1917","GROUP5.6","GROUP7.17","M22.51","HUMC.6","S03.3","MCL.14","IA2268","UNMC.20","SPECS.3158","GROUP6.3","SPECS.3157","MCL.39","UNMC.90","UNMC.6","IA2745","UNMC.61","HUMC5","MCL.75","UNMC.85","M47.025","GROUP5.2","UNMC.81","UNMC.7","MCL.42","GROUP5.4","IA68","IA4885","UNMC.55","GROUP7.14","GROUP4.6","UNMC.24","S08.1","UNMC.84","SC02.11","M47.022","BC04","HUMC1","GROUP5.3","HUMC.7","UNMC.33","M47.024","WCM032","IA04","HUMC.15","GROUP6.2","GROUP5.9","UNMC.62","IA2852","GROUP4.7","M47.029","MCL.37","MCL.33","GROUP4.4","MCL.40","UNMC.69","IA4227","UNMC.48","GROUP7.6","SC86.6","UNMC.47","UNMC.87","GROUP7.9","GROUP7.20","GROUP5.10","HUMC4","UNMC.79.C1","IA2084","IA4203","M47.023","UNMC.86","GROUP5.1","GROUP5.5","IA4289","HUMC.9","GROUP7.22","UNMC.51","GROUP4.3","WCM045","GROUP7.5","GROUP4.8","S87.4","SC08.2","S06.166","IA2334","MCL.122","S89.9","IA834","GROUP4.11","MCL.25","SPECS.3164","UNMC.71.A5","S03.8","GROUP4.10","WCM041","MCL.146","MCL.126"
"Amplification-3q23-3q29",2,1,2,1,2,1,2,0,2,1,1,2,1,2,1,1,2,2,2,2,1,1,2,2,1,2,1,0,1,2,1,2,1,1,1,1,2,1,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,2,1,1,0,0,1,0,0,2,1,0,0,0,0,2,2,0,0,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,1,1,1,0,2,0,0,1,0,0,0,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amplification-3q22.1-3q22.3",2,1,2,1,2,2,2,0,2,1,1,2,2,2,1,0,2,2,2,2,2,2,2,1,1,1,1,0,1,2,1,2,0,1,2,0,2,2,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,2,1,0,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"S1PR1",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Amplification-8q23.2-8q24.21",2,0,1,0,0,0,0,2,0,0,1,2,1,0,1,0,0,2,0,1,0,0,0,0,0,2,2,2,0,2,1,2,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BORCS8-MEF2B",0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HLA-C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BIRC3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Deletion_11q22.3",0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
"ATM",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCND1",1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
