Hybridization REF	p	difference	q	subclass
AMPLIFICATION-3Q22.1-3Q22.3	3.11267694260179e-07	1.13076923076923	5.44718464955313e-06	1
AMPLIFICATION-3Q23-3Q29	1.66161973212831e-07	1.01538461538462	5.44718464955313e-06	1
AMPLIFICATION-8Q23.2-8Q24.21	0.0246531310254939	0.406153846153846	0.0958732873213652	1
NOTCH1	0.0447656329224249	-0.0512820512820513	0.130566429357073	1
SAMHD1	0.0243662983753623	-0.0641025641025641	0.0958732873213652	1
DAZAP1	0.00731584806738057	-0.0897435897435897	0.051210936471664	1
SP140	0.000350144086234602	-0.153846153846154	0.00306376075455277	1
DELETION_TP53	0.0321895170772248	-0.176410256410256	0.112663309770287	1
DELETION_6Q21	0.020783422966554	-0.176410256410256	0.0958732873213652	1
AMPLIFICATION_7P22.3	0.0407534559016824	-0.176410256410256	0.129670086959899	1
DELETION_13Q12.11	0.0139086630782502	-0.237435897435897	0.0811338679564595	1
DELETION_17P11.2	0.000220607342799526	-0.304615384615385	0.00257375233266114	1
ATM	1.54201432570527e-24	0.684782608695652	5.39705013996845e-23	2
DELETION_11Q22.3	9.27616114134035e-05	0.528656126482213	0.00040583204993364	2
BORCS8-MEF2B	0.0488075954154781	0.341897233201581	0.0949036577523185	2
NOTCH1	0.0448830562873425	-0.0434782608695652	0.0924062923562934	2
NOTCH2	0.0245211575744128	-0.0543478260869565	0.053640032194028	2
SAMHD1	0.0245211575744128	-0.0543478260869565	0.053640032194028	2
SPEN	0.0074451765414153	-0.0760869565217391	0.0186129413535383	2
DAZAP1	0.0074451765414153	-0.0760869565217391	0.0186129413535383	2
TET2	0.0074451765414153	-0.0760869565217391	0.0186129413535383	2
S1PR1	0.000686639004143181	-0.119565217391304	0.0021847604677283	2
SP140	0.000375673678897538	-0.130434782608696	0.00131485787614138	2
UBR5	0.00020463777470324	-0.141304347826087	0.000795813568290378	2
TP53	5.97978906599129e-05	-0.16304347826087	0.000298989453299564	2
DELETION_9P21.1	1.70689501998939e-05	-0.184782608695652	0.000106074551251287	2
DELETION_TP53	1.42400318716594e-05	-0.239130434782609	0.000106074551251287	2
AMPLIFICATION-8Q23.2-8Q24.21	1.81842087859349e-05	-0.282608695652174	0.000106074551251287	2
DELETION_1Q21.1-1Q21.3	9.96059684929939e-09	-0.304347826086957	1.16206963241826e-07	2
DELETION_8P23.3	4.96271201169809e-10	-0.347826086956522	8.68474602047166e-09	2
AMPLIFICATION_14Q32.33	0.000371063025111322	0.767469879518072	0.00216453431314938	3
DELETION_17P11.2	0.000255216301278404	0.483132530120482	0.00216453431314938	3
DELETION_11Q22.3	0.00164646963290969	0.38855421686747	0.00736500146493037	3
DELETION_17P13.3	0.0043961142011963	0.37289156626506	0.015386399704187	3
NOTCH1	0.0448123665948209	-0.0481927710843374	0.0980270519261707	3
NOTCH2	0.0244278475884526	-0.0602409638554217	0.0569983110397227	3
BORCS8-MEF2B	0.0133985030978238	-0.072289156626506	0.0334962577445595	3
PCLO	0.0133985030978238	-0.072289156626506	0.0334962577445595	3
DAZAP1	0.00736713835383533	-0.0843373493975904	0.0234408947622033	3
HLA-C	0.000360153234739427	-0.144578313253012	0.00216453431314938	3
UBR5	0.000194382945174409	-0.156626506024096	0.00216453431314938	3
AMPLIFICATION_7P22.3	0.0122938672689652	-0.203012048192771	0.0334962577445595	3
DELETION_9P21.1	1.54499380859168e-05	-0.204819277108434	0.000270373916503544	3
DELETION_9P21.3	1.54499380859168e-05	-0.204819277108434	0.000270373916503544	3
DELETION_8P23.3	0.00430289774091975	-0.26144578313253	0.015386399704187	3
AMPLIFICATION-3Q22.1-3Q22.3	0.0016834289062698	-0.426506024096386	0.00736500146493037	3
DELETION_9P21.1	0.000571477025802976	0.544540229885057	0.00400033918062083	4
DELETION_9P21.3	0.000571477025802976	0.544540229885057	0.00400033918062083	4
DELETION_6Q21	0.00154768593635711	0.487068965517241	0.00902816796208314	4
AMPLIFICATION_7P22.3	0.0308441062709421	0.487068965517241	0.0830418245756134	4
NOTCH1	0.0448456843209189	-0.0459770114942529	0.112114210802297	4
SAMHD1	0.0244717950588958	-0.0574712643678161	0.0713760689217794	4
BORCS8-MEF2B	0.0134414670689159	-0.0689655172413793	0.042768304310187	4
PCLO	0.0134414670689159	-0.0689655172413793	0.042768304310187	4
SPEN	0.00740385085892246	-0.0804597701149425	0.028792753340254	4
DAZAP1	0.00740385085892246	-0.0804597701149425	0.028792753340254	4
ARID1A	0.00407995923172239	-0.0919540229885057	0.0203997961586119	4
SP140	0.000367410893220906	-0.137931034482759	0.00400033918062083	4
HLA-C	0.000367410893220906	-0.137931034482759	0.00400033918062083	4
AMPLIFICATION_14Q32.33	5.42873905868071e-06	-0.333333333333333	0.000190005867053825	4
DELETION_1Q21.1-1Q21.3	0.00516675522526831	0.554373522458629	0.0301394054807318	5
DELETION_8P23.3	0.049750427157987	0.390070921985816	0.145105412544129	5
NOTCH1	0.0448968380204641	-0.0425531914893617	0.142853575519658	5
SAMHD1	0.0245393791782414	-0.0531914893617021	0.0858878271238449	5
BORCS8-MEF2B	0.0135076174821642	-0.0638297872340425	0.0525296235417497	5
DAZAP1	0.00746045540801096	-0.074468085106383	0.0326394924100479	5
KIAA1671	0.00746045540801096	-0.074468085106383	0.0326394924100479	5
S1PR1	0.000691176743094633	-0.117021276595745	0.00483823720166243	5
UBR5	0.000206681425966738	-0.138297872340426	0.00180846247720896	5
AMPLIFICATION_7P22.3	5.61331415770627e-05	-0.234042553191489	0.000654886651732398	5
AMPLIFICATION-8Q23.2-8Q24.21	1.85309127785714e-05	-0.276595744680851	0.000324290973624999	5
AMPLIFICATION_14Q32.33	5.9427466592562e-06	-0.308510638297872	0.000207996133073967	5
UBR5	0.000286593084053188	0.475308641975309	0.00200615158837232	6
DAZAP1	0.00505469662041998	0.318181818181818	0.0252734831020999	6
SP140	0.0224849468495635	0.25645342312009	0.0711788522463667	6
HLA-C	0.0224849468495635	0.25645342312009	0.0711788522463667	6
NOTCH1	0.0424631889116036	0.181818181818182	0.111126256072803	6
NOTCH2	0.02440417791304	-0.0617283950617284	0.0711788522463667	6
