SampleName	cluster	silhouetteValue
SampleName	cluster	silhouetteValue
MCL-28	1	-0.177817072991227
UNMC-59	1	-0.0723491029141017
HUMC-8	1	-0.0764959633436239
HUMC-7	1	-0.0753293916262925
UNMC-16	1	-0.107161969037152
S92-5	1	0.0162328622895913
WCM062	1	0.103280622808129
UNMC-5	1	0.201707765490508
WCM032	1	-0.0813264992806048
HUMC3	1	-0.29814067412591
IA1857	1	-0.0604151007590013
GROUP4-2	1	0.316780643862468
UNMC-62	1	0.161762407297807
GROUP5-6	1	0.184246498659174
MCL-138	1	0.248659403419719
M22-51	1	0.0524082681060207
HUMC-6	1	0.188394990011691
S03-3	1	0.141351728582297
GROUP4-1	1	0.282960933583984
GROUP7-13	1	0.124981603615849
UNMC-20	1	0.269387341480949
GROUP6-3	1	-0.0390002065380465
UNMC-28	1	0.0408377778159744
UNMC-90	1	0.197791364202437
GROUP7-6	1	0.0798292447052812
UNMC-64	1	-0.223673115518296
IA2745	1	0.0872789182578548
UNMC-61	1	0.0326880998823295
GROUP7-2	1	-0.173465293885483
HUMC-9	1	0.0427528209408855
UNMC-31	1	0.0199153232209418
UNMC-97	1	0.156113038941771
HUMC1	1	0.346750879159132
MCL-61	1	0.084394939229096
GROUP5-3	1	0.0417746535462043
GROUP4-5	1	0.0402882002845741
HUMC-12	1	0.287319292938199
UNMC-88	1	0.245300562502265
UNMC-39	1	0.146191022453605
GROUP5-2	1	0.0219302467249142
UNMC-81	2	0.124479323033201
MCL-42	2	0.260467143836164
IA68	2	-0.128913415177281
IA4885	2	0.0585209749739148
UNMC-55	2	0.132192606046597
UNMC-24	2	0.179761537198799
M47-022	2	-0.00058287272830893
BC04	2	0.144713790282584
UNMC-51	2	-0.0938433620694157
UNMC-18	3	0.172372987811578
IA04	3	-0.0430281911034443
HUMC-15	3	-0.0254150844559478
GROUP5-9	3	0.244480194817039
IA2852	3	0.0981719506564095
GROUP4-7	3	0.0947745007543872
M47-029	3	0.0373651859963136
MCL-37	3	-0.130208825392722
MCL-33	3	0.111522642255946
MCL-40	3	-0.061509688358644
IA4227	3	0.10455486548585
UNMC-48	3	0.064082187935565
SC86-6	3	0.241193216155177
UNMC-47	3	-0.122992637689671
UNMC-87	3	0.0109246047949041
UNMC-44	3	0.110459944596894
GROUP7-22	3	-0.0806492846480974
SPECS-3164	3	0.0149954464709913
MCL-146	3	-0.041250868543116
MCL-126	3	-0.0564234860284539
UNMC-7	4	0.0322269510605279
UNMC-68-A2	4	0.159126288370671
M47-024	4	0.213876549910622
SPECS-3163	4	0.232171038727373
S94-7	4	0.0625544154879183
SPECS-3155	4	0.330188887074689
SPECS-1917	4	-0.0474280355987951
SPECS-3158	4	-0.131931423660087
GROUP7-20	4	-0.144589501638526
GROUP5-10	4	0.253836863886628
UNMC-79-C1	4	0.292494536580372
IA4203	4	0.0776805097077119
GROUP5-1	4	0.187625792517803
UNMC-8	4	-0.0898293526977729
WCM045	4	0.527319196587973
S87-4	4	-0.126392478360302
S06-166	4	0.0445895973967099
S89-9	4	-0.146386405090063
UNMC-71-A5	4	0.365678346998321
SC01-10	4	0.178713804381858
WCM041	4	0.0111382439722753
UNMC-33	5	0.135338737247554
GROUP6-2	5	0.0842090540618147
UNMC-69	5	0.150635168125491
SPECS-3157	5	0.152876710436674
GROUP5-4	5	0.164187947431794
GROUP7-11	5	-0.18090994496715
IA1147	5	-0.298207735247804
GROUP4-6	5	0.273413664614407
MCL-75	5	0.301003414496854
SC02-11	5	0.0387563403125723
MCL-122	5	0.00820041800488809
GROUP4-11	5	0.177629263039242
MCL-25	5	0.0231468603076052
HUMC-10	5	0.0702996320823777
GROUP7-19	5	0.20572160629012
IA-02	5	0.307129551928824
GROUP7-3	5	-0.0752091916418922
GROUP4-10	5	0.185547939972111
GROUP4-9	6	0.175323257337594
GROUP7-1	6	0.150596373372742
M47-027	6	-0.0675253044520718
GROUP7-17	6	0.0257298941678714
IA2268	6	0.0343488359642843
GROUP4-4	6	-0.240194348645326
MCL-39	6	0.014895480576898
UNMC-6	6	-0.0210279483141118
GROUP7-9	6	0.147037855147979
GROUP7-14	6	0.191401017064957
HUMC5	6	0.229576885194148
M47-023	6	0.00200136970319937
GROUP5-5	6	0.0907883359061519
S08-1	6	-0.112240139292374
UNMC-84	6	-0.232802393795846
UNMC-85	6	0.0615309601795904
M47-025	6	0.253485558819643
IA834	6	0.337712349158652
MCL-45	6	-0.0400730622529153
GROUP7-15	7	0.256519017358959
MCL-38	7	0.0791036443139138
MCL-98	7	0.109925870246389
GROUP6-4	7	-0.0431381381937505
HUMC4	7	0.0584449042988347
IA2084	7	0.00994417674330886
MCL-128	7	-0.00494452334668609
MCL-35	7	-0.0621452449617556
UNMC-23	7	-0.105335424163673
MCL-71	7	-0.092176681380111
M47-3	7	0.139445924122977
GROUP7-5	7	0.131916159703588
GROUP5-7	7	0.527319196587973
MCL-24	7	0.486792889906502
UNMC-37	7	-0.274162528638179
MCL-109	7	0.0289719492888341
MCL-14	8	0.212077343826866
UNMC-86	8	-0.0191155521312128
GROUP6-1	8	0.273108242238042
IA4289	8	0.379130717845905
GROUP4-3	8	-0.22804812664978
SC08-2	8	0.103765033876122
IA2334	8	0.139444731485386
GROUP5-8	8	0.153023640898069
