Hybridization REF	p	difference	q	subclass
AMPLIFICATION-3Q22.1-3Q22.3	9.31710959440553e-08	1.13829229963332	3.26098835804194e-06	1
AMPLIFICATION-8Q23.2-8Q24.21	0.013026245830551	0.483499214248298	0.0759864340115475	1
DAZAP1	0.0448123665948209	-0.0481927710843374	0.174270314535415	1
NOTCH2	0.0244278475884526	-0.0602409638554217	0.10687183319948	1
BIRC3	0.0244278475884526	-0.0602409638554217	0.10687183319948	1
SAMHD1	0.00736713835383533	-0.0843373493975904	0.0515699684768473	1
DELETION_6Q25.3	0.00467371393050123	-0.185437401781037	0.0408949968918858	1
DELETION_6Q21	0.00108629618826073	-0.22158198009429	0.0190101832945628	1
ATM	0.00292860557903094	-0.308014667365113	0.0341670650886943	1
WIDE_PEAK_1P21.2-22.1	0.00555625764581493	0.297702766057196	0.0324115029339204	2
DELETION_1P13.1	0.00884583891736178	0.292545710267229	0.035619009439874	2
UBR5	0.0184704382409242	0.23300515705579	0.0497281029563344	2
NOTCH2	0.0243792582694605	-0.0632911392405063	0.0550720449492703	2
BIRC3	0.0243792582694605	-0.0632911392405063	0.0550720449492703	2
BORCS8-MEF2B	0.0133510480729957	-0.0759493670886076	0.0424806075049863	2
KIAA1671	0.0133510480729957	-0.0759493670886076	0.0424806075049863	2
S1PR1	0.00732663558931128	-0.0886075949367089	0.035619009439874	2
DELETION_15Q26.2	0.0251757919768093	-0.127519924988279	0.0550720449492703	2
DELETION_9P21.1	0.0157186334512883	-0.140178152836381	0.0458460142329242	2
DELETION_6Q25.3	0.0311512410740513	-0.153774027191749	0.0615297191958262	2
DELETION_6Q21	0.0091591738559676	-0.191748710736052	0.035619009439874	2
DELETION_17P13.3	0.0316438555864249	-0.193624003750586	0.0615297191958262	2
DELETION_TP53	0.00024807746504295	-0.215189873417722	0.00434135563825163	2
DELETION_13Q14.2	0.00293271347619722	-0.309423347398031	0.0205289943333805	2
DELETION_11Q22.3	0.00137399089289028	-0.334739803094233	0.0160298937503866	2
AMPLIFICATION-8Q23.2-8Q24.21	8.1276432509549e-06	-0.367088607594937	0.000284467513783422	2
AMPLIFICATION-3Q22.1-3Q22.3	0.00188229140331499	-0.422409751523676	0.0164700497790062	2
DELETION_TP53	0.0110510190462243	0.693961952026468	0.0755449952718755	3
DELETION_17P11.2	0.0161206387401065	0.400330851943755	0.0755449952718755	3
TP53	0.0178771734071986	0.397022332506204	0.0755449952718755	3
DAZAP1	0.0448900248789073	-0.043010752688172	0.128114528296663	3
TET2	0.0245303699180331	-0.0537634408602151	0.0780511770119235	3
BIRC3	0.0245303699180331	-0.0537634408602151	0.0780511770119235	3
NOTCH1	0.0134987938225596	-0.0645161290322581	0.0755449952718755	3
BORCS8-MEF2B	0.0134987938225596	-0.0645161290322581	0.0755449952718755	3
SAMHD1	0.00745289950203391	-0.0752688172043011	0.0755449952718755	3
DELETION_9P21.1	6.02261897171684e-05	-0.161290322580645	0.00105395832005045	3
DELETION_9P21.3	1.72353237718412e-05	-0.182795698924731	0.000603236332014442	3
ATM	0.0194258559270537	-0.297766749379653	0.0755449952718755	3
AMPLIFICATION-3Q22.1-3Q22.3	0.047585396224475	-0.30686517783292	0.128114528296663	3
DELETION_6Q21	1.98280980419315e-06	0.656976744186047	6.93983431467602e-05	4
DELETION_6Q25.3	8.26147265912904e-06	0.630232558139535	0.000144575771534758	4
DELETION_9P21.3	0.00190853521337126	0.418604651162791	0.0133597464935988	4
DELETION_9P21.1	0.0038937024554187	0.380232558139535	0.0227132643232757	4
ATM	0.0237956616012375	0.28953488372093	0.0713451858272148	4
DELETION_17P13.3	0.049057774035598	0.255813953488372	0.122644435088995	4
BORCS8-MEF2B	0.0274489669713839	0.238372093023256	0.0739010649229567	4
TET2	0.0244612065693308	-0.0581395348837209	0.0713451858272148	4
BIRC3	0.0244612065693308	-0.0581395348837209	0.0713451858272148	4
NOTCH1	0.0134311118508096	-0.0697674418604651	0.0527319296170166	4
PCLO	0.0073949986574282	-0.0813953488372093	0.036974993287141	4
SMARCA4	0.000198008868595718	-0.151162790697674	0.00173257760021253	4
UBR5	0.000198008868595718	-0.151162790697674	0.00173257760021253	4
AMPLIFICATION_14Q32.33	0.0135596390443757	-0.248837209302326	0.0527319296170166	4
DELETION_11Q22.3	2.10904267931906e-09	0.563645887899424	7.38164937761671e-08	5
AMPLIFICATION_14Q32.33	0.00598559975676414	0.502881089575694	0.041899198297349	5
DELETION_13Q14.2	0.00872767387240984	0.310110005238345	0.0509114309223907	5
ATM	0.0121198188134282	0.302776322682032	0.0521052898248703	5
BIRC3	0.021645539948687	0.217391304347826	0.0688721725640041	5
NOTCH2	0.0244278475884526	-0.0602409638554217	0.0712478887996534	5
NOTCH1	0.0133985030978238	-0.072289156626506	0.0521052898248703	5
BORCS8-MEF2B	0.0133985030978238	-0.072289156626506	0.0521052898248703	5
ARID1A	0.00222386557437478	-0.108433734939759	0.0194588237757793	5
DELETION_9P21.1	0.0408351117548797	-0.125196437925615	0.109940685493907	5
DELETION_9P21.3	0.0178790862293381	-0.149292823467784	0.0625768018026834	5
DELETION_TP53	0.000254338572590356	-0.204819277108434	0.00445092502033123	5
AMPLIFICATION-3Q22.1-3Q22.3	0.000588327265928434	-0.471974855945521	0.0068638181024984	5
