Hybridization REF	p	difference	q	subclass
Composite Element REF	p	difference	q	subclass
AMPLIFICATION-3Q22.1-3Q22.3	9.65109687947672e-14	1.46198830409357	3.37788390781685e-12	1
AMPLIFICATION-3Q23-3Q29	5.56233887396758e-09	1.09795321637427	9.73409302944326e-08	1
TET2	0.0243393097521576	-0.0657894736842105	0.0655289108711935	1
BIRC3	0.0243393097521576	-0.0657894736842105	0.0655289108711935	1
SAMHD1	0.0243393097521576	-0.0657894736842105	0.0655289108711935	1
NOTCH1	0.0243393097521576	-0.0657894736842105	0.0655289108711935	1
RAD50	0.0133120689997016	-0.0789473684210526	0.0517691572210618	1
KIAA1671	0.0133120689997016	-0.0789473684210526	0.0517691572210618	1
CARD11	0.00218064308745882	-0.118421052631579	0.0127204180101764	1
SP140	0.000642348944236502	-0.144736842105263	0.00562055326206939	1
DELETION_TP53	0.02882553243935	-0.181286549707602	0.072063831098375	1
WIDE_PEAK_1P21.2-22.1	0.00450995016863118	-0.35672514619883	0.0225497508431559	1
AMPLIFICATION_14Q32.33	4.58878295961417e-06	-0.368421052631579	5.35358011954986e-05	1
DELETION_11Q22.3	0.00145881290750993	-0.37280701754386	0.0102116903525695	1
DELETION_11Q22.3	1.09052833065805e-12	0.649257552483359	3.81684915730317e-11	2
AMPLIFICATION-8Q23.2-8Q24.21	0.00792021582197742	0.438300051203277	0.0458448602152058	2
ATM	0.00311116928991842	0.327188940092166	0.0217781850294289	2
DELETION_13Q14.2	0.0485603725666426	0.216589861751152	0.121400931416606	2
BIRC3	0.0227066683773265	0.161290322580645	0.0662277827672023	2
RAD50	0.0130985314900588	-0.0952380952380952	0.0458448602152058	2
SPEN	0.0130985314900588	-0.0952380952380952	0.0458448602152058	2
SP140	0.0276544793845896	-0.12647209421403	0.0744543675738951	2
AMPLIFICATION_18Q21.33	0.0196748782116925	-0.126984126984127	0.0626018852190216	2
TP53	0.0028215814295144	-0.189964157706093	0.0217781850294289	2
SMARCA4	0.000311857516490679	-0.19047619047619	0.00363833769239126	2
AMPLIFICATION_17Q24.3	0.0121334870040998	-0.236559139784946	0.0458448602152058	2
AMPLIFICATION-3Q23-3Q29	0.0122692192666644	-0.405529953917051	0.0458448602152058	2
AMPLIFICATION-3Q22.1-3Q22.3	0.000152781087425412	-0.551971326164875	0.00267366902994471	2
DELETION_TP53	0.0177718261992359	0.601785714285714	0.0853715815435567	3
BIRC3	0.0243918804410162	-0.0625	0.0853715815435567	3
SAMHD1	0.0243918804410162	-0.0625	0.0853715815435567	3
NOTCH1	0.0243918804410162	-0.0625	0.0853715815435567	3
AMPLIFICATION_18Q21.33	0.0199501805093624	-0.1	0.0853715815435567	3
CARD11	0.00220625233134308	-0.1125	0.0257396105323359	3
S1PR1	0.00220625233134308	-0.1125	0.0257396105323359	3
DELETION_12P13.2	0.000354282307444782	-0.15	0.0123998807605674	3
AMPLIFICATION-8Q23.2-8Q24.21	0.00747663818723049	-0.291071428571429	0.0523364673106134	3
AMPLIFICATION-3Q22.1-3Q22.3	0.00436458836375827	-0.448214285714286	0.0381901481828849	3
DELETION_9P21.3	0.000479725373762898	0.692857142857143	0.00559679602723381	4
DELETION_9P21.1	0.0166547433867116	0.480952380952381	0.0728645023168633	4
BIRC3	0.0244392426967647	-0.0595238095238095	0.0855373494386765	4
SAMHD1	0.0244392426967647	-0.0595238095238095	0.0855373494386765	4
SPEN	0.0134096393229407	-0.0714285714285714	0.0670481966147035	4
PCLO	0.0134096393229407	-0.0714285714285714	0.0670481966147035	4
HLA-C	0.00222946144422572	-0.107142857142857	0.01560623010958	4
DELETION_15Q26.2	0.0012212755714426	-0.119047619047619	0.0106861612501228	4
SMARCA4	0.000362026168447412	-0.142857142857143	0.00559679602723381	4
AMPLIFICATION_14Q32.33	5.27031622617558e-06	-0.333333333333333	0.000184461067916145	4
WIDE_PEAK_1P21.2-22.1	0.000509871081583712	0.423628691983122	0.00446137196385748	5
SP140	0.023493902310763	0.336708860759494	0.0568849359620745	5
TET2	0.0243792582694605	-0.0632911392405063	0.0568849359620745	5
BIRC3	0.0243792582694605	-0.0632911392405063	0.0568849359620745	5
KIAA1671	0.0133510480729957	-0.0759493670886076	0.0424806075049863	5
AMPLIFICATION_18Q21.33	0.0199373947248403	-0.10126582278481	0.0568849359620745	5
DELETION_15Q26.2	0.00120026548440298	-0.126582278481013	0.0060013274220149	5
CCND1	0.000651924138365421	-0.139240506329114	0.00456346896855795	5
DELETION_TP53	7.63894406837573e-05	-0.240506329113924	0.000891210141310502	5
ATM	0.0075036490694464	-0.309704641350211	0.0262627717430624	5
DELETION_13Q14.2	0.00720289344372701	-0.356962025316456	0.0262627717430624	5
AMPLIFICATION-8Q23.2-8Q24.21	4.58863506342924e-06	-0.379746835443038	8.03011136100117e-05	5
DELETION_11Q22.3	0.000949098124384206	-0.39831223628692	0.00553640572557453	5
AMPLIFICATION-3Q22.1-3Q22.3	0.00194508124190258	-0.470886075949367	0.00850973043332379	5
AMPLIFICATION-3Q23-3Q29	1.49704565498751e-06	-0.70210970464135	5.23965979245629e-05	5
AMPLIFICATION_14Q32.33	9.10358789227609e-05	1.64015151515152	0.00159312788114832	6
TET2	0.0244821336257593	-0.0568181818181818	0.0778976979001432	6
BIRC3	0.0244821336257593	-0.0568181818181818	0.0778976979001432	6
SAMHD1	0.0244821336257593	-0.0568181818181818	0.0778976979001432	6
SPEN	0.0134515801303663	-0.0681818181818182	0.0588506630703526	6
PCLO	0.0134515801303663	-0.0681818181818182	0.0588506630703526	6
KIAA1671	0.0134515801303663	-0.0681818181818182	0.0588506630703526	6
S1PR1	0.00225059170939424	-0.102272727272727	0.0157541419657597	6
DELETION_15Q26.2	0.00123642760694362	-0.113636363636364	0.0108187415607567	6
ARID1A	0.00123642760694362	-0.113636363636364	0.0108187415607567	6
