NAME	Average.poor	Average_Int	Average_Good
HALLMARK_ANGIOGENESIS	0.844658197	1.016130832	0.887282723
HALLMARK_E2F_TARGETS	2.927885364	2.586568793	2.376086148
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	1.431542872	1.639104969	1.429174311
HALLMARK_G2M_CHECKPOINT	2.561666792	2.098648642	1.888429465
HALLMARK_INFLAMMATORY_RESPONSE	1.814691003	1.90140126	2.183254581
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.499481797	2.589249696	2.860004728
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.788601098	2.920912016	3.270801175
HALLMARK_MTORC1_SIGNALING	2.834803748	2.619203397	2.487729403
HALLMARK_MYC_TARGETS_V1	3.319235288	3.155330239	2.976917909
HALLMARK_MYC_TARGETS_V2	2.352938811	2.206331229	2.102703155
HALLMARK_NOTCH_SIGNALING	1.7186694	1.965572329	1.901489532
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.240414021	2.379547671	2.687717285
WP_CYTOKINES_AND_INFLAMMATORY_RESPONSE	0.933271548	0.533476013	0.512578338
WP_RETINOBLASTOMA_GENE_IN_CANCER	2.407892451	2.069478949	1.956072021
