Channel,Marker,Type
Eu151Di_ATM,ATM,
Nd146Di_BCL2,BCL2,
Er168Di_BCL6,BCL6,
Nd145Di_CCND1,CCND1,
Sm149Di_CCR4,CCR4,
Er167Di_CD11b,CD11b,
Sm152Di_CD11c,CD11c,
Nd144Di_CD14,CD14,
Sm147Di_CD163,CD163,
Dy161Di_CD20,CD20,
Er170Di_CD3,CD3,
In115Di_CD31,CD31,
Gd156Di_CD4,CD4,
Y89Di_CD45,CD45,
Er166Di_CD45RA,CD45RA,
Yb173Di_CD45RO,CD45RO,
Nd142Di_CD5,CD5,
Yb171Di_CD68,CD68,
Dy162Di_CD8,CD8,
Pr141Di_CXCR3,CXCR3,
Dy163Di_FOXP3,FOXP3,
La139Di_HLAABC,HLAABC,
Yb174Di_HLADR,HLADR,
Pt196Di_KI67,KI67,
Eu153Di_LAG3,LAG3,
Lu175Di_P53,P53,
Nd148Di_PD1,PD1,
Nd150Di_PDL1,PDL1,
Yb172Di_PDL2,PDL2,
Ho165Di_SOX11,SOX11,
Tb159Di_Shh,Shh,
Yb176Di_TGFb,TGFb,
Sm154Di_TIM3,TIM3,
Gd160Di_VISTA,VISTA,
Dy164Di_cMYC,cMYC,
Gd155Di_pNFKb,pNFKb,
Gd158Di_pSTAT3,pSTAT3,
