sample	chrom	loc.start	loc.end	num.mark	seg.mean	copy	ivg.copy
M002	1	950000	43450000	405	0.0023	2	0
M002	1	43550000	110550000	651	-0.6191	1	-1
M002	1	110650000	248850000	1079	0.0141	2	0
M002	2	150000	31450000	309	0.028501942	2	0
M002	2	31550000	33050000	12	0.3802	3	1
M002	2	33150000	90150000	537	0.0163	2	0
M002	2	91950000	94950000	5	0.5983	3	1
M002	2	95050000	109650000	132	-0.0185	2	0
M002	2	109750000	110650000	4	-0.9832	1	-1
M002	2	110750000	242050000	1257	0.0189	2	0
M002	3	50000	198050000	1903	-0.006442512	2	0
M002	4	150000	189950000	1817	0.033374794	2	0
M002	5	150000	181250000	1704	-0.0091	2	0
M002	6	250000	28350000	270	0.0233	2	0
M002	6	28450000	33450000	48	0.5621	3	1
M002	6	33550000	170550000	1304	0.022977837	2	0
M002	7	50000	159250000	1469	0.017501157	2	0
M002	8	350000	145050000	1360	0.0065	2	0
M002	9	250000	138050000	1053	-0.0203	2	0
M002	10	50000	133650000	1247	-0.0072	2	0
M002	11	250000	134950000	1260	-0.058390159	2	0
M002	12	150000	133150000	1255	-0.004986454	2	0
M002	13	18250000	114150000	929	0.025290635	2	0
M002	14	19750000	106050000	842	-0.018996081	2	0
M002	14	106150000	106850000	8	0.4406	3	1
M002	15	17050000	101850000	762	-0.0352	2	0
M002	16	150000	90050000	713	-0.0709	2	0
M002	17	150000	21550000	203	-0.037431527	2	0
M002	17	21650000	22150000	5	1.0973	4	2
M002	17	22350000	45850000	181	-0.018181768	2	0
M002	17	45950000	46250000	4	0.6205	3	1
M002	17	46750000	83150000	353	-0.014863739	2	0
M002	18	250000	54650000	469	-0.0285	2	0
M002	18	54750000	80250000	251	0.450558566	3	1
M002	19	350000	19650000	189	-0.0264	2	0
M002	19	19750000	22450000	19	1.0213	4	2
M002	19	22550000	58550000	298	0.033839597	2	0
M002	20	150000	25850000	253	-0.0491	2	0
M002	20	26150000	30950000	16	0.8775	4	2
M002	20	31350000	64150000	324	-0.034573457	2	0
M002	21	7950000	10550000	8	0.8726	4	2
M002	21	13250000	46550000	311	-0.004331511	2	0
M002	22	10750000	50750000	327	-0.0192	2	0
M002	23	250000	2750000	23	0.5373	3	1
M002	23	2850000	155950000	1397	-1.043506299	1	-1
M002	24	2850000	26550000	118	-1.1095	1	-1
M003	1	950000	77950000	745	0.057264295	2	0
M003	1	78050000	107350000	285	-0.7882	1	-1
M003	1	107450000	119950000	120	0.1563	2	0
M003	1	121450000	145650000	9	-0.7232	1	-1
M003	1	145750000	248850000	976	0.1161	2	0
M003	2	150000	242050000	2256	0.0928	2	0
M003	3	50000	198050000	1903	0.062894325	2	0
M003	4	150000	189950000	1817	0.053210402	2	0
M003	5	150000	181250000	1704	0.0547	2	0
M003	6	250000	550000	4	0.726	3	1
M003	6	650000	28650000	269	0.0223	2	0
M003	6	28750000	33450000	45	0.4012	3	1
M003	6	33550000	168850000	1287	-0.04727568	2	0
M003	6	168950000	170550000	17	0.9266	4	2
M003	7	50000	28250000	279	0.6211	3	1
M003	7	28350000	159250000	1190	0.023894286	2	0
M003	8	350000	145050000	1360	0.0212	2	0
M003	9	250000	16350000	157	-0.0224	2	0
M003	9	16450000	28150000	113	-0.8232	1	-1
M003	9	28350000	42350000	104	0.0538	2	0
M003	9	42750000	86450000	179	-0.8736	1	-1
M003	9	86550000	119150000	317	0.0167	2	0
M003	9	119250000	119650000	5	-0.8	1	-1
M003	9	119750000	138050000	178	0.0176	2	0
M003	10	50000	133650000	1247	-0.009646672	2	0
M003	11	250000	98150000	896	-0.0254	2	0
M003	11	98250000	116650000	182	-0.8767	1	-1
M003	11	116750000	134950000	182	0.004324176	2	0
M003	12	150000	133150000	1255	-0.0198	2	0
M003	13	18250000	114150000	929	-0.327562756	2	0
M003	14	19750000	28250000	84	-0.9487	1	-1
M003	14	28350000	28750000	5	0.6597	3	1
M003	14	28850000	31850000	31	-1.1618	1	-1
M003	14	31950000	41150000	91	0.0049	2	0
M003	14	41250000	42150000	10	-1.2567	1	-1
M003	14	42250000	105950000	620	-5.00E-04	2	0
M003	14	106050000	106850000	9	0.9045	4	2
M003	15	17050000	22750000	6	-0.1017	2	0
M003	15	22850000	27650000	47	-0.99	1	-1
M003	15	27950000	31550000	27	-0.4842	2	0
M003	15	31650000	44950000	128	-0.9363	1	-1
M003	15	45050000	101850000	554	0.0095	2	0
