Sample	Chromosome	Start Position	End Position	Num markers	seg.mean	copy	ivg.copy	Seg.CN
1_16.vs.Tonsil1_Group7_23	14	21950000	22450000	6	0.9068	4	2	1
1_16.vs.Tonsil1_Group7_23	14	19750000	21850000	21	0.008	2	0	0
1_16.vs.Tonsil1_Group7_23	16	150000	31950000	283	-0.0293	2	0	0
1_16.vs.Tonsil1_Group7_23	6	157150000	170550000	133	0.0582	2	0	0
1_16.vs.Tonsil1_Group7_23	22	16150000	50750000	323	-0.0086	2	0	0
1_16.vs.Tonsil1_Group7_23	15	17050000	55250000	308	0.0042	2	0	0
1_16.vs.Tonsil1_Group7_23	14	96950000	106850000	96	-0.113508333	2	0	0
1_16.vs.Tonsil1_Group7_23	17	150000	83150000	746	-0.014236327	2	0	0
1_16.vs.Tonsil1_Group7_23	7	50000	57650000	560	0.07643375	2	0	0
1_16.vs.Tonsil1_Group7_23	7	63050000	159250000	905	-0.020866077	2	0	0
1_16.vs.Tonsil1_Group7_23	19	350000	58550000	506	-0.0479	2	0	0
1_16.vs.Tonsil1_Group7_23	18	250000	80250000	720	0.0041	2	0	0
1_16.vs.Tonsil1_Group7_23	3	50000	198050000	1903	0.019457593	2	0	0
1_16.vs.Tonsil1_Group7_23	8	350000	145050000	1360	0.0117	2	0	0
1_16.vs.Tonsil1_Group7_23	2	150000	242050000	2256	0.0132	2	0	0
1_16.vs.Tonsil1_Group7_23	13	18250000	114150000	929	-0.038774704	2	0	0
1_16.vs.Tonsil1_Group7_23	21	7950000	46550000	319	-0.020155486	2	0	0
1_16.vs.Tonsil1_Group7_23	16	35150000	90050000	426	-0.0097	2	0	0
1_16.vs.Tonsil1_Group7_23	10	42450000	133650000	868	0.016585714	2	0	0
1_16.vs.Tonsil1_Group7_23	4	150000	189950000	1817	0.009052394	2	0	0
1_16.vs.Tonsil1_Group7_23	5	150000	181250000	1704	0.0227	2	0	0
1_16.vs.Tonsil1_Group7_23	14	22550000	62350000	389	0.0119	2	0	0
1_16.vs.Tonsil1_Group7_23	15	55850000	101850000	449	0.006976169	2	0	0
1_16.vs.Tonsil1_Group7_23	12	150000	133150000	1255	0.0017	2	0	0
1_16.vs.Tonsil1_Group7_23	11	117250000	134950000	177	0.0459	2	0	0
